Name;Vintage;Volume;Lot Size;Seal Code;Critic Ratings
Vin de Constance;1986;500ml;1;;"<p><em>&lsquo;Intense, lifted, fresh honey and lemon bouquet. Racy, minerally acid lends vivid clarity to the rich fruit, silky texture. Excellent balance. Incisively clean, long. Amazingly youthful.&rsquo;&nbsp;</em> Angela Lloyde<br /><br /><em>&lsquo;Startling caramelised orange nose, smoky, a touch of rancio, vivid. Medium bodied, moderate concentration, good acidity, a trace of oxidation, yet vibrant, with some tropical fruit. Peppery finish, fine length.&rsquo;</em> Stephen Brook, Decanter magazine.</p>"
Vin de Constance;1987;500ml;1;;"<p><i>'The first commercially sold vintage of the modern era is superb and rigid. Raisined fruit softness, with salted caramels and coffee. The creamy palate is laced with incredible lasting acidity, culminating in a savoury tail &ndash; like a sweet Oloroso</i>.&rsquo; &ndash; Higgo Jacobs 2020, 96/100</p>
<p><em>&lsquo;1986, limited bottling of unfortified replica of fabled 18th century dessert Constantias of Hendrick Cloete. Made every year at Klein Constantia since 1986 from Muscat de Frontignan &ndash; same clone selection as originally imported from western France by Governor Jan van Riebeeck in 1656. 1987 deeper coloured than 1986, more alcoholic at 15% cf. 14%, more mellifluous, more amply endowed with range of apricot-honey scents. Small barrel-aged, in newer oak than in historic bottlings. In Cloete&rsquo;s day, stems of bunches twisted when ripe and left to hang on vine, sugar and flavour concentration intensified by evaporation, leading to natural alcohols of up to 17%. Gower gets same result by halving the crop.</em> &ndash; Platter&rsquo;s SA Wine Guide (1992)</p>
<p><em>&lsquo;Wonderfully balanced, with limey freshness, nutty complexity and dabs of tropical fruit. A true legend that is still very much alive today.&rsquo;</em> &ndash; Roland Peens, 96 points (2018)</p>"
Vin de Constance;1988;500ml;1;;"<p><strong><i>&lsquo;</i></strong><i>Brooding, dark, smoky notes. This is evolved, but stable. Much drier than the 1987, the &rsquo;88 is better suited as an aperitif than dessert wine. A firm acid backbone and saline centre holds intact. Good condition.</i>&rsquo; &ndash; Higgo Jacobs 2020, 92/100</p>
<p>&lsquo;<i>Hugely complex on nose with Muscat fragrance, spice, white mushroom and some nuttiness, while the palate showed great focus and freshness. In terms of flavour, an almost peppery intensity before a long, saline finish.</i>&rsquo; &ndash; Christian Eedes, Winemag.co.za 18/20 (2011)</p>
<p>&lsquo;<i>The 1988 Vin de Constance has a deep nutty color. The nose is fully mature but beautifully defined with lifted Muscat notes augmented by hazelnut, marmalade and a touch of mint. The palate is medium-bodied with a bright, citric entry with hints of rosewater, quince, orange zest and dried apricot. It is very focused and full of tension on the finish although to be honest, I cannot envisage it improving further and I would gladly drink any bottles I had sooner rather than later.&rsquo;</i>&nbsp;<i>&ndash;&nbsp;</i>Neal Martin, Wine Advocate 88/100 (2013)</p>"
Vin de Constance;1989;500ml;1;;"<p>&lsquo;<i>Offers a lovely amber color, with blood orange, bitter almond, clove, green tea and dried persimmon notes backed by a noticeably spicy Muscat hint on the finish. More rustic and broader than the other vintages, and not quite as deep or long.--Non-blind Vin de Constance vertical. Drink now through 2017. 2,425 cases made.</i>&rsquo; &ndash; Wine Spectator (Tasted 2010), 90/100</p>"
Vin de Constance;1990;500ml;1;;"<p>&lsquo;<i>Clear, layered mahogany / bronze with a green rim. Raisins with dried apricots and citrus peel on appealing, mellow, nose, focussed by a little VA. Luscious, sweet entry with good minerally acid core; vivid, apparently youthful flavours, long racy finish.</i>&rsquo; &ndash; Angela Lloyd 2002, 4.5*</p>"
Vin de Constance;1991;500ml;1;;"<p>&lsquo;<i>One of the Cape&rsquo;s few cult wines - justified as much as inherent individuality as its icon status with the British - UK visitors to the Cape can be identified by the number of cases of Constance in their luggage</i>. &ldquo; &ndash; Platter's SA Wine Guide 1996, 5*</p>
<p>&lsquo;<i>Part of a wine legitimately taking on icon status is that it should impress most times it is drunk and the Vin de Constance 1991 from Klein Constantia didn&rsquo;t disappoint yesterday. Deep brown in colour, it nevertheless had fantastic aromatics and flavour &ndash; dried flowers, mint humbug, caramel, mushroom, a certain loaminess. Intricate and wonderfully balanced &ndash; nothing obvious or aggressive about it. A special treat.&rsquo;</i>&nbsp;&ndash; Christian Eedes, Winemag.co.za 95/100 (2014)</p>"
Vin de Constance;1992;500ml;1;;"<p><i>&lsquo;Nuts, Christmas spices, oranges and starfruit &ndash; delicious citric spritz. Caramel, cream, lemon, lime, orange, preserved tropical fruits. Still very powerful and focused, with a persistent length and a really quite youthful sort of concentration as well as plenty of secondary character.&rsquo;</i> - Richard Hemming MW, JancisRobinson.com, 17.5+/20 (2009)</p>
<p>&lsquo;<i>Brilliant gold, amber tinge at centre. Fresh mint, raisins, lime marmalade scents. Similarly vibrant apricot, citrus concentration; mouthcoating richness; excellent sugar / acid balance</i>.&rsquo; &ndash; Angela Lloyd 2002, 4.5 Stars</p>
<p><i>'A lighter and more subtle vintage, with lower intensity and sweetness. Elegant and drier expression of Vin de Constance</i>.&rsquo; &ndash; Higgo Jacobs 2016, 92/100</p>"
Vin de Constance;1993;500ml;1;;
Vin de Constance;1994;500ml;1;;"<p><strong>&lsquo;</strong><i>A vintage with immense power and concentration, and still in quite a burly and youthful stage, almost bold and brooding. Big and luscious, but with superb definition. One for the long haul&rsquo;</i> &ndash; Higgo Jacobs 2016, 95/100</p>"
Vin de Constance;1995;500ml;1;;"<p><em>'A definite dark rusty amber now, and showing much more oxidative aromas. Minty, orange peel, very complex flavours, and finely layered like puff pastry. Rasping acidity that keeps the thick marmalade unctuousness under control'.</em><strong> &ndash; Jancis Robinson, 17.5/20</strong></p>"
Vin de Constance;1996;500ml;1;;"<p>&lsquo;<i>This has the color of dark iced tea, with a burnished edge to the maple, clove, date, green tea and mulled spice notes all laced with tangy acidity and a long, incense-infused finish. Clearly maturing in its flavor profile, but still with plenty of zip.--Non-blind Vin de Constance vertical ... 1,036 cases made</i>.&rsquo; &ndash; Wine Spectator &nbsp;92/100 (2010)</p>
<p>&lsquo;<i>The 1996 Vin de Constance is has a lucid amber hue. The nose is very engaging: marmalade, seaweed, quince, frangipane and a touch of chlorine &ndash; more like a mature Barsac than mature Sauternes. The palate is medium-bodied with a restrained viscous entry of mandarin, orange rind and quince. It is nicely focused and precise, even if it does not quite possess the delineation of the 2007 and 2008 on the finish. Very fine</i>.&rsquo; &ndash; Neal Martin, Wine Advocate 94/100 (Oct 2013)</p>"
Vin de Constance;1997;500ml;1;;"<p><em>&lsquo;Candied orange peel, cherries, and spices are intermingled with hints of honey in its gorgeously defined aromatics. This wine, produced entirely from Muscat, is lively, elegant, packed with nuanced flavours, and sports a long, supple, expressive finish.&rsquo;&nbsp;</em> Pierre Rovani, Wine Advocate, 93/100 (Feb 2003)</p>"
Vin de Constance;1998;500ml;1;;"<p>&lsquo;<i>This dessert wine is loaded from the get-go, with mango, blood orange, smoke, persimmon, ginger, date and fig flavors, all on a burnished texture supported by well-imbedded acidity. Superlong finish. Gorgeous. Late harvest Muscat de Frontignan. 1,049 cases made.</i>&rsquo; &ndash; Wine Spectator 93/100 (2003)</p>
<p>&lsquo;<i>RS 160 g/l, pH 3.5, TA 9.5 g/l. Vanilla pod, mixed peel, spiced oranges, cloves, raisins, thick and gloopy but with a whistlingly fresh finish from the acidity that keeps magnificent balance. The orange character is really pure on the palate, like tangerine slices &ndash; tangy and freshly-peeled.&rsquo;</i> <i>&ndash; </i>Richard Hemming MW, JancisRobinson.com 17.5/20 (2009)</p>"
Vin de Constance;1999;500ml;1;;"<p>&lsquo;<i>Confirming anew the international status its ancestor enjoyed 2 centuries back, and fortunately soon in greater quantities as new plantings of Muscat de Frontignan come into production. Frequent 5* over the years. Usually no botrytis, just healthy ripeness taken to a superb extreme, to give a silkily textured wine, with fine mineral acidity. Raisiny luxuriance of '99 also evokes dried apricot, marmalade, shot through with thrilling acid; fine lingering farewell. 14.5%; 183g/L sugar.&rsquo;</i>&nbsp;&ndash; Platter&rsquo;s SA Wine Guide 2005, 4.5*</p>
<p><i>Vanilla pod, mixed peel, spiced oranges, cloves, raisins, thick and gloopy but with a whistlingly fresh finish from the acidity that keeps magnificent balance. The orange character is really pure on the palate, like tangerine slices &ndash; tangy and freshly-peeled.&rsquo;</i>&nbsp;<i>&ndash;&nbsp;</i>Richard Hemming MW, JancisRobinson.com &nbsp;17.5/20 (2009)</p>"
Vin de Constance;2000;500ml;3;;"<p>&lsquo;<i>Continually reclaiming the international renown its ancestor enjoyed 2 centuries back; from usually unbotrytised but superbly ripe Muscat de Frontignan giving a long-lived, silkily textured wine with fine mineral acidity. Riveting old-gold-coloured '00 somewhat drier (141g/L), full, gorgeously complex panoply of a aromas/flavours (from muscatty grape to citrus, dried peach to marmalade), refined silky richness, balanced acidity. There some 2 years in used 500L French oak barrels, after ferment/time in tank. In specially made 500ml hand-blown-style-bottles.</i><i>&rsquo;</i> &ndash; Platter&rsquo;s SA Wine Guide 2006, 5*</p>
<p>&lsquo;<i>Runny caramel on the nose, and a lovely amber hue in the glass. Roasted nuts, musk, very lengthy black-treacle finish and orange and quince fruit &ndash; the fruit is definitely past its first flush, though the wine is still very much alive.&rsquo;</i> <i>&ndash; </i>Richard Hemming MW, JancisRobinson.com, 17/20 (2009)<i></i></p>
<p>&nbsp;</p>"
Vin de Constance;2001;500ml;3;;"<p><i>&lsquo;Sweet and rich, but also superracy, with fresh-cut tangerine, orange and nectarine flavors, backed by bright acidity and a long, lingering finish of spice, orange zest and heather honey. Hard to resist now, but should age wonderfully. Muscat de Frontignan.&rsquo;</i> - James Molesworth, Wine Spectator, 92/100 (2007)</p>"
Vin de Constance;2002;500ml;3;;"<p><em>&lsquo;Luscious unfortified dessert with international reputation spanning 2 centuries, typically from un-botrytised yet lusciously ripe Muscat de Frontignan. The 2002 is more slender than previous (13% alc vs 14.8%) but follows generous sun-blessed style, with tightrope balance. Marmalade, Asian spice hints, unctuous but uncloying.&rsquo;</em> - Platter&rsquo;s SA Wine Guide 2008, 4.5*</p>
<p><em>&lsquo;Marmalade, some green hints, menthol, pineapple cubes, a haunting floral bouquet. Nutty flavours emerging, with lavender, peach, honeycomb, lengthy and superbly even-handed mix of body, acidity and flavour.&rsquo;</em> - Richard Hemming MW, JancisRobinson.com, 17.5/20 (Feb 2009)</p>"
Vin de Constance;2004;500ml;3;;"Iconic dessert wine from unbotrytised Muscat de Frontignan, No 2003; '04 charming peach and spicy-nutty cream. Less intense than some years, but still luscious and dense. 130 g/l RS, 14.2% alc in full, rich finish.' - Platter's SA Wine Guide 2009, 4.5*"
Vin de Constance;2005;500ml;3;;"<p><i>&lsquo;Pure orange peel, tangerine, persimmon and clementine flavors are laced with hints of green tea, candied lime peel and honeysuckle. Rich, but racy and mouthwatering. The gorgeous amber color and a caressing mouthfeel just add to the pleasure. Lovely precision. Should age nicely. Drink now through 2023.&rsquo;</i> - James Molesworth, Winespectator.com, 94/100 (2010)</p>
<p><i>&lsquo;Iconic dessert from unbotrytised Muscat de Frontignan. '05 sleek, gleaming acidity in different, finer balance to previous (160 g/l RS; 12.2% alc). Lovely floral depth, precise long-lingering finish. These reward 5-10+ years in cellar with more complexity. &plusmn; 3 years in combo steel, oak.&rsquo;</i> - Platter&rsquo;s SA Wine Guide 2009, 4.5*</p>"
