Name;Vintage;Volume;Lot Size;Seal Codes;Critic Ratings
Rubicon;1980;750ml;1;FS002 - 561013;
Rubicon;1981;750ml;1;FS003 - 043153;
Rubicon;1982;750ml;1;FS003 - 474882;"<p><i>Cerise-brick edge. Spicy, with camphor, mushroomy, earthy whiffs, primary fruit all gone but leaving behind a lovely integration and a harmonious finish</i>.&nbsp;16.5/20 (750ml). - Michael Fridjhon, World of Fine Wine (2014)</p>"
Rubicon;1983;750ml;1;FS004 - 248007;
Rubicon;1984;750ml;1;FS004 - 634870;"<p><em>&lsquo;In an increasingly crowded field of local excellence, this remains among the top South African claret blends; consistently elegant, medium-bodied, carefully oaked, restrained but perfumed, with some classic, minerally, claret undertones. A ripe vegetal/herbal nuance is often apparent, with dried tea leaf associations. A medium-length finish, in a routinely medium-strength wine. The '84, undoubtedly one of the best vintages, was, for well-known French shipper Paul Bouchard, ""the finest French claret outside France"". Meerlust Rubicons are not big, plummy over-oaked or over-done New World or Californian creations. The aim has been not so much to attack the nostrils, with an upfront bouquet of raw cedary oak, but to go for elegant complexity on the palate.&rsquo;</em>&nbsp; Platter&rsquo;s SA Wine Guide 1990, 5*</p>"
Rubicon;1986;750ml;1;F064 - 419500;
Rubicon;1987;750ml;1;F068 - 483311;
Rubicon;1988;750ml;1;0041 - 684546;
Rubicon;1989;750ml;1;0147 - 920361;
Rubicon;1991;750ml;2;0135 - 996416;
Rubicon;1991;750ml;2;0135 - 996413;
Rubicon;1992;750ml;2;0066 - 177538;"<p><em>&lsquo;Quiet understatement, free of both forward fruit and weighty, alcoholic Cape statements has been a byword of French-speaking proprietor Myburgh and Dalla Cia. A measured, tasty, grapey vinosity is the hallmark. '92 integrated, very pleasing, obviously from same stable.&rsquo; </em>&nbsp;Platter&rsquo;s SA Wine Guide 1998, 4*</p>"
Rubicon;1992;750ml;2;0066 - 177506;"<p><em>&lsquo;Quiet understatement, free of both forward fruit and weighty, alcoholic Cape statements has been a byword of French-speaking proprietor Myburgh and Dalla Cia. A measured, tasty, grapey vinosity is the hallmark. '92 integrated, very pleasing, obviously from same stable.&rsquo; </em>&nbsp;Platter&rsquo;s SA Wine Guide 1998, 4*</p>"
Rubicon;1993;750ml;2;0222 - 280092;
Rubicon;1993;750ml;2;0222 - 303720;
Rubicon;1994;750ml;2;0305 - 121467;"<p>&lsquo;<i>For many &ndash; including followers abroad &ndash; this remains an ultimate name and statement in Cape claret style. Rubicon remains the quintessence of refined understatement &ndash; serious, medium-textured vinosity, ripe but not overripe berry flavours, moderate grip from tannins, essentially dry rather than fruity-sweet. Winemaker Dalla Cia considers Rubicon a &ldquo;better, richer, more complex wine than cabernet sauvignon on its own could ever be&rdquo;. Here, the blend is about 65-70% cabernet, 20-25% merlot, balance Cabernet. Franc. New Nevers barrel-matured about 18 months to 2 years, through malo. Dalla Cia has never wavered stylistically: while others see-sawed between bold fruity &ldquo;New World modernity&rdquo; and &ldquo;Cape tradition&rdquo; this Bordeaux-style standard-bearer has kept a constant course, for nearly 2 decades, openly aiming at European restraint and vinosity. 94 splendid array of layered fruit, tannin, oak.&rsquo;</i>&nbsp;&ndash; Platter&rsquo;s SA Wine Guide (1999)</p>
<p><i>'The 1994 is traditional in style with a freshness that belies its age, red berry fruit and delicate complexity</i>.' Roland Peens 91 points 2019</p>"
Rubicon;1994;750ml;2;0305 - 121925;"<p>&lsquo;<i>For many &ndash; including followers abroad &ndash; this remains an ultimate name and statement in Cape claret style. Rubicon remains the quintessence of refined understatement &ndash; serious, medium-textured vinosity, ripe but not overripe berry flavours, moderate grip from tannins, essentially dry rather than fruity-sweet. Winemaker Dalla Cia considers Rubicon a &ldquo;better, richer, more complex wine than cabernet sauvignon on its own could ever be&rdquo;. Here, the blend is about 65-70% cabernet, 20-25% merlot, balance Cabernet. Franc. New Nevers barrel-matured about 18 months to 2 years, through malo. Dalla Cia has never wavered stylistically: while others see-sawed between bold fruity &ldquo;New World modernity&rdquo; and &ldquo;Cape tradition&rdquo; this Bordeaux-style standard-bearer has kept a constant course, for nearly 2 decades, openly aiming at European restraint and vinosity. 94 splendid array of layered fruit, tannin, oak.&rsquo;</i>&nbsp;&ndash; Platter&rsquo;s SA Wine Guide (1999)</p>
<p><i>'The 1994 is traditional in style with a freshness that belies its age, red berry fruit and delicate complexity</i>.' Roland Peens 91 points 2019</p>"
Rubicon;1995;750ml;2;0745 - 070191;"<p>This iconic vintage graced the back page of Decanter&rsquo;s magazine in 2000 with Michael Broadbent describing the vintage as &lsquo;One of the Cape&rsquo;s classics&hellip; Good fruit, lovely flavour and remarkably good value.&rsquo; In the same year Pierre Rovani reviewed the wine for The Wine Advocate, finding a cornucopia of fruits: &lsquo;It exhibits fabulous aromas of dark fruits, spices, and some candied strawberries. It has a lovely satiny structure, excellent focus, elegance, and is crafted in a feminine style. This concentrated, spicy, cherry and blackberry syrup-flavoured offering has an exceptional finish filled with plums and tangy blackcurrants.&rsquo;</p>
<p>Stored in professional cellaring since release, this is an extraordinarily rare investment opportunity to purchase a pristine 6-bottle case of arguably the greatest Rubicon vintage.</p>"
Rubicon;1995;750ml;2;0745 - 070238;"<p>This iconic vintage graced the back page of Decanter&rsquo;s magazine in 2000 with Michael Broadbent describing the vintage as &lsquo;One of the Cape&rsquo;s classics&hellip; Good fruit, lovely flavour and remarkably good value.&rsquo; In the same year Pierre Rovani reviewed the wine for The Wine Advocate, finding a cornucopia of fruits: &lsquo;It exhibits fabulous aromas of dark fruits, spices, and some candied strawberries. It has a lovely satiny structure, excellent focus, elegance, and is crafted in a feminine style. This concentrated, spicy, cherry and blackberry syrup-flavoured offering has an exceptional finish filled with plums and tangy blackcurrants.&rsquo;</p>
<p>Stored in professional cellaring since release, this is an extraordinarily rare investment opportunity to purchase a pristine 6-bottle case of arguably the greatest Rubicon vintage.</p>"
Rubicon;1996;750ml;2;0863 - 786697;
Rubicon;1996;750ml;2;0863 - 786704;
Rubicon;1997;750ml;2;0781 - 027661;
Rubicon;1997;750ml;2;0781 - 058228;
Rubicon;1998;750ml;2;0934 - 521282;"<p><em>&lsquo;Brambly forest-floor berries hemmed in by intense grassiness, stylish finish signals maturation potential, but needs a decade from harvest. 70% Cabernet Sauvignon, 20% Merlot, 10% Cabernet Franc, 2 years in 80% new French oak.&rsquo;</em> - Platter&rsquo;s SA Wine Guide 2003, 4.5*</p>
<p><em>&lsquo;Muscular currant, cassis, iron and dark chocolate notes. Tannic, but lots of flesh, with a lingering tobacco note. Maybe a touch austere for some, but admirable concentration. Cabernet Sauvignon, Merlot and Cabernet Franc.&rsquo;</em> - James Molesworth, Wine Spectator, 89/100 (Apr 2003)</p>"
Rubicon;1998;750ml;2;0934 - 521130;"<p><em>&lsquo;Brambly forest-floor berries hemmed in by intense grassiness, stylish finish signals maturation potential, but needs a decade from harvest. 70% Cabernet Sauvignon, 20% Merlot, 10% Cabernet Franc, 2 years in 80% new French oak.&rsquo;</em> - Platter&rsquo;s SA Wine Guide 2003, 4.5*</p>
<p><em>&lsquo;Muscular currant, cassis, iron and dark chocolate notes. Tannic, but lots of flesh, with a lingering tobacco note. Maybe a touch austere for some, but admirable concentration. Cabernet Sauvignon, Merlot and Cabernet Franc.&rsquo;</em> - James Molesworth, Wine Spectator, 89/100 (Apr 2003)</p>"
Rubicon;1999;750ml;2;3051 - 442251;"<p><em>'This is quite earthy and with morish decay on the nose. The palate is fresher with dense, chocolatey fruit. Maybe starting to dry out, with its tannic, chunky finish. Large format should last a decade longer and warrant a higher score. Drink now.' - </em>Roland Peens (Feb 2021), 90/100.</p>
<p>&lsquo;<i>As flamboyant challengers &ndash; often laced with bulging ripe fruit and/or flagrant oak &ndash; come and go, this pre-eminent &lsquo;Cape claret&rsquo;, wih a two-decade bloodline, continues to hold court. Invariably fine-grained &amp; classic; 99 dusty, cedar/tobacco notes, fruit still trussed up by lacy tannins Loaded with potential; needs at least a decade from harvest. 70% cab, 20% merlot, 10% cab f; 2 yrs Fr (Nevers) oak, 80% new.&rsquo;</i>&nbsp;&ndash; Platter&rsquo;s SA Wine Guide 2004, 4.5*</p>"
Rubicon;1999;750ml;2;3051 - 442247;"<p><em>'This is quite earthy and with morish decay on the nose. The palate is fresher with dense, chocolatey fruit. Maybe starting to dry out, with its tannic, chunky finish. Large format should last a decade longer and warrant a higher score. Drink now.' - </em>Roland Peens (Feb 2021), 90/100.</p>
<p>&lsquo;<i>As flamboyant challengers &ndash; often laced with bulging ripe fruit and/or flagrant oak &ndash; come and go, this pre-eminent &lsquo;Cape claret&rsquo;, wih a two-decade bloodline, continues to hold court. Invariably fine-grained &amp; classic; 99 dusty, cedar/tobacco notes, fruit still trussed up by lacy tannins Loaded with potential; needs at least a decade from harvest. 70% cab, 20% merlot, 10% cab f; 2 yrs Fr (Nevers) oak, 80% new.&rsquo;</i>&nbsp;&ndash; Platter&rsquo;s SA Wine Guide 2004, 4.5*</p>"
Rubicon;2000;750ml;3;3711 - 324791;"<p><em>&ldquo;Deep purple ink colour. A spicy tobacco leaf and cigar box bouquet. Firm tannins, youthful palate. The wine is well-balanced and has good ageing potential.&rdquo;</em> - <strong>Best in Class Silver - International Wine and Spirits Competition ( IWCS ) 2005</strong></p>"
Rubicon;2000;750ml;3;3711 - 324794;"<p><em>&ldquo;Deep purple ink colour. A spicy tobacco leaf and cigar box bouquet. Firm tannins, youthful palate. The wine is well-balanced and has good ageing potential.&rdquo;</em> - <strong>Best in Class Silver - International Wine and Spirits Competition ( IWCS ) 2005</strong></p>"
Rubicon;2000;750ml;3;3711 - 324788;"<p><em>&ldquo;Deep purple ink colour. A spicy tobacco leaf and cigar box bouquet. Firm tannins, youthful palate. The wine is well-balanced and has good ageing potential.&rdquo;</em> - <strong>Best in Class Silver - International Wine and Spirits Competition ( IWCS ) 2005</strong></p>"
Rubicon;2001;750ml;3;3930 - 738025;"<p><i>One of the all time greats from Meerlust, this was one of Giorgio dalla Cia&rsquo;s last great vintages which won the Chateau Pichon Longueville Comtesse de Lalande Best Bordeaux Blend Trophy in 2006. Still beautifully vital and intensely coloured showing a crystalline ruby red hue. The nose is jam packed full of black cassis fruit, br&ucirc;l&eacute;ed coffee beans, violets and sweet dried baking spices. Plush, lush and almost weightless in the mouth, the palate is so broad, concentrated, vibrant and intense, with the most harmonious youthful balance and seamless silky balance with just a hint of salinity and mineral graphite on the finish. So suave, so regal, this is a wine that defines elegance. A true South African icon. Drink now to 2040+.</i> - Wine Safari Score: 96+/100 Greg Sherwood MW (2019)</p>"
Rubicon;2001;750ml;3;3930 - 740072;"<p><i>One of the all time greats from Meerlust, this was one of Giorgio dalla Cia&rsquo;s last great vintages which won the Chateau Pichon Longueville Comtesse de Lalande Best Bordeaux Blend Trophy in 2006. Still beautifully vital and intensely coloured showing a crystalline ruby red hue. The nose is jam packed full of black cassis fruit, br&ucirc;l&eacute;ed coffee beans, violets and sweet dried baking spices. Plush, lush and almost weightless in the mouth, the palate is so broad, concentrated, vibrant and intense, with the most harmonious youthful balance and seamless silky balance with just a hint of salinity and mineral graphite on the finish. So suave, so regal, this is a wine that defines elegance. A true South African icon. Drink now to 2040+.</i> - Wine Safari Score: 96+/100 Greg Sherwood MW (2019)</p>"
Rubicon;2001;750ml;3;3930 - 774418;"<p><i>One of the all time greats from Meerlust, this was one of Giorgio dalla Cia&rsquo;s last great vintages which won the Chateau Pichon Longueville Comtesse de Lalande Best Bordeaux Blend Trophy in 2006. Still beautifully vital and intensely coloured showing a crystalline ruby red hue. The nose is jam packed full of black cassis fruit, br&ucirc;l&eacute;ed coffee beans, violets and sweet dried baking spices. Plush, lush and almost weightless in the mouth, the palate is so broad, concentrated, vibrant and intense, with the most harmonious youthful balance and seamless silky balance with just a hint of salinity and mineral graphite on the finish. So suave, so regal, this is a wine that defines elegance. A true South African icon. Drink now to 2040+.</i> - Wine Safari Score: 96+/100 Greg Sherwood MW (2019)</p>"
Rubicon;2003;750ml;3;4677 - 0263803;
Rubicon;2003;750ml;3;4677 - 0263821;
Rubicon;2003;750ml;3;4677 - 0263815;
Rubicon;2004;750ml;3;4527 - 0476438;"<p>&lsquo;<i>Elegant but not insubstantial, 04 is Chris Williams&rsquo;s debut with long-time Cape icon. 64% cab; merlot, cab f. Silk rather than brocade; blackcurrant, raspberry notes deliver harmony, length &amp; balance. 2 yrs oak, 80% new. Deserves cellaring.&rsquo;</i> &ndash; Platter&rsquo;s SA Wine Guide 2009, 4.5*</p>
<p>&lsquo;<i>Concentrated and grippy, with dark, roasted plum, black licorice, charcoal, mesquite and bittersweet cocoa notes. Traditional in vein, with an iron- and earth-filled finish that should soften nicely with cellaring. Cabernet Sauvignon, Merlot and Cabernet Franc.</i>&rsquo; &ndash; 90/100 Wine Spectator (2008)</p>"
Rubicon;2004;750ml;3;4527 - 0476421;"<p>&lsquo;<i>Elegant but not insubstantial, 04 is Chris Williams&rsquo;s debut with long-time Cape icon. 64% cab; merlot, cab f. Silk rather than brocade; blackcurrant, raspberry notes deliver harmony, length &amp; balance. 2 yrs oak, 80% new. Deserves cellaring.&rsquo;</i> &ndash; Platter&rsquo;s SA Wine Guide 2009, 4.5*</p>
<p>&lsquo;<i>Concentrated and grippy, with dark, roasted plum, black licorice, charcoal, mesquite and bittersweet cocoa notes. Traditional in vein, with an iron- and earth-filled finish that should soften nicely with cellaring. Cabernet Sauvignon, Merlot and Cabernet Franc.</i>&rsquo; &ndash; 90/100 Wine Spectator (2008)</p>"
Rubicon;2004;750ml;3;4527 - 0475737;"<p>&lsquo;<i>Elegant but not insubstantial, 04 is Chris Williams&rsquo;s debut with long-time Cape icon. 64% cab; merlot, cab f. Silk rather than brocade; blackcurrant, raspberry notes deliver harmony, length &amp; balance. 2 yrs oak, 80% new. Deserves cellaring.&rsquo;</i> &ndash; Platter&rsquo;s SA Wine Guide 2009, 4.5*</p>
<p>&lsquo;<i>Concentrated and grippy, with dark, roasted plum, black licorice, charcoal, mesquite and bittersweet cocoa notes. Traditional in vein, with an iron- and earth-filled finish that should soften nicely with cellaring. Cabernet Sauvignon, Merlot and Cabernet Franc.</i>&rsquo; &ndash; 90/100 Wine Spectator (2008)</p>"
Rubicon;2005;750ml;3;4967 - 0383783;"<p><em>'Mature, ripe, heady nose show some reduction. The palate is meaty with dried herbs and dark plums. Spicy with slight vanilla note, good poise and depth. Drink now to 2030.' - </em>Roland Peens (Feb 2021), 92/100</p>
<p><em>'Parallel drawn with the 2005 Cabernet, displaying a similar nose of wood polish and mint. The palate is on another level though. Power and finesse. Incredible concentration of deep, dark fruits presented in a completely harmonious, seamless palate delivery. Expect a healthy sediment deposit. Decant for an hour and enjoy.'</em>- Higgo Jacobs (Feb 2021), 94/100</p>
<p><em>'Among South Africa&rsquo;s original Bordeaux-style reds, still finely judged, elegant &amp; classically styled. 05 cassis &amp; graphite whiffs; plush yet lithe &amp; restrained, with gd grip from 69% cab (with merlot, cab f), 14.4% alc well hidden. Ageworthy. 2 yrs oak, 75% new.'</em> - Platter's SA Wine Guide 2010, 4.5*</p>"
Rubicon;2005;750ml;3;4967 - 0424462;"<p><em>'Mature, ripe, heady nose show some reduction. The palate is meaty with dried herbs and dark plums. Spicy with slight vanilla note, good poise and depth. Drink now to 2030.' - </em>Roland Peens (Feb 2021), 92/100</p>
<p><em>'Parallel drawn with the 2005 Cabernet, displaying a similar nose of wood polish and mint. The palate is on another level though. Power and finesse. Incredible concentration of deep, dark fruits presented in a completely harmonious, seamless palate delivery. Expect a healthy sediment deposit. Decant for an hour and enjoy.'</em>- Higgo Jacobs (Feb 2021), 94/100</p>
<p><em>'Among South Africa&rsquo;s original Bordeaux-style reds, still finely judged, elegant &amp; classically styled. 05 cassis &amp; graphite whiffs; plush yet lithe &amp; restrained, with gd grip from 69% cab (with merlot, cab f), 14.4% alc well hidden. Ageworthy. 2 yrs oak, 75% new.'</em> - Platter's SA Wine Guide 2010, 4.5*</p>"
Rubicon;2005;750ml;3;4967 - 0408179;"<p><em>'Mature, ripe, heady nose show some reduction. The palate is meaty with dried herbs and dark plums. Spicy with slight vanilla note, good poise and depth. Drink now to 2030.' - </em>Roland Peens (Feb 2021), 92/100</p>
<p><em>'Parallel drawn with the 2005 Cabernet, displaying a similar nose of wood polish and mint. The palate is on another level though. Power and finesse. Incredible concentration of deep, dark fruits presented in a completely harmonious, seamless palate delivery. Expect a healthy sediment deposit. Decant for an hour and enjoy.'</em>- Higgo Jacobs (Feb 2021), 94/100</p>
<p><em>'Among South Africa&rsquo;s original Bordeaux-style reds, still finely judged, elegant &amp; classically styled. 05 cassis &amp; graphite whiffs; plush yet lithe &amp; restrained, with gd grip from 69% cab (with merlot, cab f), 14.4% alc well hidden. Ageworthy. 2 yrs oak, 75% new.'</em> - Platter's SA Wine Guide 2010, 4.5*</p>"
Rubicon;2006;750ml;3;5291 - 0041471;"<p><em>&lsquo;Longstanding benchmark Bordeaux-style red, eschews showiness for restraint. 2006 cassis and cherry notes; concentrated, not plush, powdery tannins, tealeaf whiffs. Oak (70% new) evident; less supple than 2005. From Cabernet Sauvignon, with 16% Cabernet Franc, and 10% Merlot.&rsquo;</em> - Platter&rsquo;s SA Wine Guide 2011, 4.5*</p>"
