Name;Vintage;Volume;Lot Size;Seal Codes;Anticipated Future Vintage Release Date;Critic Ratings;;;;;
Mullineux Olerasay;No.1;375ml;6;7378 - 325543;;"<p><i>'Made from vintages 2008-2014, fractionally blended solera-style (hence the ‘pig Latin’ name!). NV richly woven, with layered glacé pineapple, caramel, citrus peel and toasted hazelnuts; vast 260 g/l sugar is uncloying, with lovely freshness, piquancy and length at just 11% alcohol. A Bacchanalian masterpiece, deserved recipient of the inaugural Dessert Wine of the Year award.'</i> - Platter's SA Wine Guide 2016, 5*</p><p><i>   ‘The Non-Vintage Olerasay is a solera made from oxidized Mullineux Straw Wine between 2008 and 2014 - two barrels held back to top up each year and it will only be released in years when it is felt to be superior to the straw wine. It delivers 268 grams per liter of residual sugar. It has a captivating nose with Barsac-like barley sugar, honey and marmalade with very little signs of oxidation. The palate is smooth and utterly harmonious, extraordinarily pure with perfect acidity, and sensual with honey, mandarin, peach and a touch of brown sugar on the long finish. It is the harmony here that grabs you - almost effortless. Stunning. It is not the most unctuous wine, the most powerful and ostentatious, yet that precision in the finish is bewitching and worthy of what I think to date might the highest score I have ever awarded to a South African wine.'</i> – Neal Martin, Wine Advocate, 99/100 (Apr 2017 )</p><p><i>    'A solera straw wine, made from seven different vintages and three vineyards, this is one
of the Cape’s greatest ever sweet wines. Boasting 260 grams of sugar, it’s rich and exotic, 
showing flavours of pineapple, apricot and coconut, as well as burnt toffee and tarte tatin. A
dessert in a glass.'</i> - Tim Atkin MW, SA Special Report 2015, 96/100</p>";;;;;                                                                                                                                                                                                m                                                                                                                                                               
Mullineux Olerasay;No.1;375ml;6;7378 - 325552;;"<p><i>'Made from vintages 2008-2014, fractionally blended solera-style (hence the ‘pig Latin’ name!). NV richly woven, with layered glacé pineapple, caramel, citrus peel and toasted hazelnuts; vast 260 g/l sugar is uncloying, with lovely freshness, piquancy and length at just 11% alcohol. A Bacchanalian masterpiece, deserved recipient of the inaugural Dessert Wine of the Year award.'</i> - Platter's SA Wine Guide 2016, 5*</p><p><i>   ‘The Non-Vintage Olerasay is a solera made from oxidized Mullineux Straw Wine between 2008 and 2014 - two barrels held back to top up each year and it will only be released in years when it is felt to be superior to the straw wine. It delivers 268 grams per liter of residual sugar. It has a captivating nose with Barsac-like barley sugar, honey and marmalade with very little signs of oxidation. The palate is smooth and utterly harmonious, extraordinarily pure with perfect acidity, and sensual with honey, mandarin, peach and a touch of brown sugar on the long finish. It is the harmony here that grabs you - almost effortless. Stunning. It is not the most unctuous wine, the most powerful and ostentatious, yet that precision in the finish is bewitching and worthy of what I think to date might the highest score I have ever awarded to a South African wine.'</i> – Neal Martin, Wine Advocate, 99/100 (Apr 2017 )</p><p><i>    'A solera straw wine, made from seven different vintages and three vineyards, this is one
of the Cape’s greatest ever sweet wines. Boasting 260 grams of sugar, it’s rich and exotic, 
showing flavours of pineapple, apricot and coconut, as well as burnt toffee and tarte tatin. A
dessert in a glass.'</i> - Tim Atkin MW, SA Special Report 2015, 96/100</p>";;;;;
Mullineux Olerasay;No.1;375ml;6;7378 - 325595;;"<p><i>'Made from vintages 2008-2014, fractionally blended solera-style (hence the ‘pig Latin’ name!). NV richly woven, with layered glacé pineapple, caramel, citrus peel and toasted hazelnuts; vast 260 g/l sugar is uncloying, with lovely freshness, piquancy and length at just 11% alcohol. A Bacchanalian masterpiece, deserved recipient of the inaugural Dessert Wine of the Year award.'</i> - Platter's SA Wine Guide 2016, 5*</p><p><i>   ‘The Non-Vintage Olerasay is a solera made from oxidized Mullineux Straw Wine between 2008 and 2014 - two barrels held back to top up each year and it will only be released in years when it is felt to be superior to the straw wine. It delivers 268 grams per liter of residual sugar. It has a captivating nose with Barsac-like barley sugar, honey and marmalade with very little signs of oxidation. The palate is smooth and utterly harmonious, extraordinarily pure with perfect acidity, and sensual with honey, mandarin, peach and a touch of brown sugar on the long finish. It is the harmony here that grabs you - almost effortless. Stunning. It is not the most unctuous wine, the most powerful and ostentatious, yet that precision in the finish is bewitching and worthy of what I think to date might the highest score I have ever awarded to a South African wine.'</i> – Neal Martin, Wine Advocate, 99/100 (Apr 2017 )</p><p><i>    'A solera straw wine, made from seven different vintages and three vineyards, this is one
of the Cape’s greatest ever sweet wines. Boasting 260 grams of sugar, it’s rich and exotic, 
showing flavours of pineapple, apricot and coconut, as well as burnt toffee and tarte tatin. A
dessert in a glass.'</i> - Tim Atkin MW, SA Special Report 2015, 96/100</p>";;;;;
Mullineux Olerasay;No.1;375ml;6;7378 - 325592;;"<p><i>'Made from vintages 2008-2014, fractionally blended solera-style (hence the ‘pig Latin’ name!). NV richly woven, with layered glacé pineapple, caramel, citrus peel and toasted hazelnuts; vast 260 g/l sugar is uncloying, with lovely freshness, piquancy and length at just 11% alcohol. A Bacchanalian masterpiece, deserved recipient of the inaugural Dessert Wine of the Year award.'</i> - Platter's SA Wine Guide 2016, 5*</p><p><i>   ‘The Non-Vintage Olerasay is a solera made from oxidized Mullineux Straw Wine between 2008 and 2014 - two barrels held back to top up each year and it will only be released in years when it is felt to be superior to the straw wine. It delivers 268 grams per liter of residual sugar. It has a captivating nose with Barsac-like barley sugar, honey and marmalade with very little signs of oxidation. The palate is smooth and utterly harmonious, extraordinarily pure with perfect acidity, and sensual with honey, mandarin, peach and a touch of brown sugar on the long finish. It is the harmony here that grabs you - almost effortless. Stunning. It is not the most unctuous wine, the most powerful and ostentatious, yet that precision in the finish is bewitching and worthy of what I think to date might the highest score I have ever awarded to a South African wine.'</i> – Neal Martin, Wine Advocate, 99/100 (Apr 2017 )</p><p><i>    'A solera straw wine, made from seven different vintages and three vineyards, this is one
of the Cape’s greatest ever sweet wines. Boasting 260 grams of sugar, it’s rich and exotic, 
showing flavours of pineapple, apricot and coconut, as well as burnt toffee and tarte tatin. A
dessert in a glass.'</i> - Tim Atkin MW, SA Special Report 2015, 96/100</p>";;;;;
Mullineux Olerasay;No.1;375ml;6;7378 - 325634;;"<p><i>'Made from vintages 2008-2014, fractionally blended solera-style (hence the ‘pig Latin’ name!). NV richly woven, with layered glacé pineapple, caramel, citrus peel and toasted hazelnuts; vast 260 g/l sugar is uncloying, with lovely freshness, piquancy and length at just 11% alcohol. A Bacchanalian masterpiece, deserved recipient of the inaugural Dessert Wine of the Year award.'</i> - Platter's SA Wine Guide 2016, 5*</p><p><i>   ‘The Non-Vintage Olerasay is a solera made from oxidized Mullineux Straw Wine between 2008 and 2014 - two barrels held back to top up each year and it will only be released in years when it is felt to be superior to the straw wine. It delivers 268 grams per liter of residual sugar. It has a captivating nose with Barsac-like barley sugar, honey and marmalade with very little signs of oxidation. The palate is smooth and utterly harmonious, extraordinarily pure with perfect acidity, and sensual with honey, mandarin, peach and a touch of brown sugar on the long finish. It is the harmony here that grabs you - almost effortless. Stunning. It is not the most unctuous wine, the most powerful and ostentatious, yet that precision in the finish is bewitching and worthy of what I think to date might the highest score I have ever awarded to a South African wine.'</i> – Neal Martin, Wine Advocate, 99/100 (Apr 2017 )</p><p><i>    'A solera straw wine, made from seven different vintages and three vineyards, this is one
of the Cape’s greatest ever sweet wines. Boasting 260 grams of sugar, it’s rich and exotic, 
showing flavours of pineapple, apricot and coconut, as well as burnt toffee and tarte tatin. A
dessert in a glass.'</i> - Tim Atkin MW, SA Special Report 2015, 96/100</p>";;;;;
Mullineux Olerasay;No.1;375ml;6;7378 - 325641;;"<p><i>'Made from vintages 2008-2014, fractionally blended solera-style (hence the ‘pig Latin’ name!). NV richly woven, with layered glacé pineapple, caramel, citrus peel and toasted hazelnuts; vast 260 g/l sugar is uncloying, with lovely freshness, piquancy and length at just 11% alcohol. A Bacchanalian masterpiece, deserved recipient of the inaugural Dessert Wine of the Year award.'</i> - Platter's SA Wine Guide 2016, 5*</p><p><i>   ‘The Non-Vintage Olerasay is a solera made from oxidized Mullineux Straw Wine between 2008 and 2014 - two barrels held back to top up each year and it will only be released in years when it is felt to be superior to the straw wine. It delivers 268 grams per liter of residual sugar. It has a captivating nose with Barsac-like barley sugar, honey and marmalade with very little signs of oxidation. The palate is smooth and utterly harmonious, extraordinarily pure with perfect acidity, and sensual with honey, mandarin, peach and a touch of brown sugar on the long finish. It is the harmony here that grabs you - almost effortless. Stunning. It is not the most unctuous wine, the most powerful and ostentatious, yet that precision in the finish is bewitching and worthy of what I think to date might the highest score I have ever awarded to a South African wine.'</i> – Neal Martin, Wine Advocate, 99/100 (Apr 2017 )</p><p><i>    'A solera straw wine, made from seven different vintages and three vineyards, this is one
of the Cape’s greatest ever sweet wines. Boasting 260 grams of sugar, it’s rich and exotic, 
showing flavours of pineapple, apricot and coconut, as well as burnt toffee and tarte tatin. A
dessert in a glass.'</i> - Tim Atkin MW, SA Special Report 2015, 96/100</p>";;;;;
Mullineux Olerasay;No.2;375ml;6;8904 - 842941;;"<p><i>'It is an ethereal wine that gives me no choice but to use a simple word loaded with meaning and one I rarely use with respect to wine...perfection. The 375ml bottle was examined over the course of two weeks during which time it barely changed. Each time I put it under a microscope looking for a fault. I never found one. Golden in colour, it has an intoxicating bouquet with orange sorbet, quince, lemon verbena and a very slight Aszú-like note that hovers in the background. Having recently tasted plenty of Sauternes, I can’t help noticing how the aromatics are unencumbered by a thick cloak of oak, thereby lending the bouquet brightness and vividness that is totally enthralling. This all translates across to the crystalline palate. The perfect seam of acidity cuts like an ancient Samurai sword through the viscous fruit whose purity is off the charts. This electrifying Olerasay does not mess about – it immediately thrills the senses with its mélange of blood orange, apricot, crushed minerals and passion fruit. There is so much energy in this wine. The finish has a weightless quality that means, despite its high residual sugar level, the wine is actually easy to drink and is not weighed down by its own unctuousness. The killer aspect of this is the soupçon of bitter orange that hits the back of the throat. I suspected that a perfect Olerasay was possible after the first iteration. This is it. Despite this being a Cellar Favorite, don’t feel you are committing a heinous crime popping the cork now because who knows where we will be by the end of 2020. Just bear in mind that this wine will last decades.'</i> - Neal Martin, Vinous, 100/100 (Jul 2020)</p><p><i>   'Remarkable occasionally released dessert wine, Chenin Blanc from 3 parcels with highest acidity, mat-dried to intensify aromas and flavours; fractionally blended for further concentration, complexity and harmony. NV from 2008-2019 vintages, wonderfully elegant and multi-layered, near-perfect balance of acid and sugar.'</i> - Platter's SA Wine Guide 2021, 5* (97/100)</p><p><i>  A total one-off in the world of South African wine, this is the second release from the Mullineux's Chenin Blanc solera, made with components that date back to 2008. It has a cavity-challenging 331 grams of sugar, but you don't notice the sweetness because of the balancing acidity. Almond, marzipan, apple tart, citrus peel and layers of balsamic complexity make this one of the best sweet wines in the Cape. 2020-28'</i> - Tim Atkin MW, SA Special Report 2020, 97/100</p>";;;;;
Mullineux Olerasay;No.2;375ml;6;8904 - 846994;;"<p><i>'It is an ethereal wine that gives me no choice but to use a simple word loaded with meaning and one I rarely use with respect to wine...perfection. The 375ml bottle was examined over the course of two weeks during which time it barely changed. Each time I put it under a microscope looking for a fault. I never found one. Golden in colour, it has an intoxicating bouquet with orange sorbet, quince, lemon verbena and a very slight Aszú-like note that hovers in the background. Having recently tasted plenty of Sauternes, I can’t help noticing how the aromatics are unencumbered by a thick cloak of oak, thereby lending the bouquet brightness and vividness that is totally enthralling. This all translates across to the crystalline palate. The perfect seam of acidity cuts like an ancient Samurai sword through the viscous fruit whose purity is off the charts. This electrifying Olerasay does not mess about – it immediately thrills the senses with its mélange of blood orange, apricot, crushed minerals and passion fruit. There is so much energy in this wine. The finish has a weightless quality that means, despite its high residual sugar level, the wine is actually easy to drink and is not weighed down by its own unctuousness. The killer aspect of this is the soupçon of bitter orange that hits the back of the throat. I suspected that a perfect Olerasay was possible after the first iteration. This is it. Despite this being a Cellar Favorite, don’t feel you are committing a heinous crime popping the cork now because who knows where we will be by the end of 2020. Just bear in mind that this wine will last decades.'</i> - Neal Martin, Vinous, 100/100 (Jul 2020)</p><p><i>   'Remarkable occasionally released dessert wine, Chenin Blanc from 3 parcels with highest acidity, mat-dried to intensify aromas and flavours; fractionally blended for further concentration, complexity and harmony. NV from 2008-2019 vintages, wonderfully elegant and multi-layered, near-perfect balance of acid and sugar.'</i> - Platter's SA Wine Guide 2021, 5* (97/100)</p><p><i>  A total one-off in the world of South African wine, this is the second release from the Mullineux's Chenin Blanc solera, made with components that date back to 2008. It has a cavity-challenging 331 grams of sugar, but you don't notice the sweetness because of the balancing acidity. Almond, marzipan, apple tart, citrus peel and layers of balsamic complexity make this one of the best sweet wines in the Cape. 2020-28'</i> - Tim Atkin MW, SA Special Report 2020, 97/100</p>";;;;;
Mullineux Olerasay;No.2;375ml;6;8904 - 842875;;"<p><i>'It is an ethereal wine that gives me no choice but to use a simple word loaded with meaning and one I rarely use with respect to wine...perfection. The 375ml bottle was examined over the course of two weeks during which time it barely changed. Each time I put it under a microscope looking for a fault. I never found one. Golden in colour, it has an intoxicating bouquet with orange sorbet, quince, lemon verbena and a very slight Aszú-like note that hovers in the background. Having recently tasted plenty of Sauternes, I can’t help noticing how the aromatics are unencumbered by a thick cloak of oak, thereby lending the bouquet brightness and vividness that is totally enthralling. This all translates across to the crystalline palate. The perfect seam of acidity cuts like an ancient Samurai sword through the viscous fruit whose purity is off the charts. This electrifying Olerasay does not mess about – it immediately thrills the senses with its mélange of blood orange, apricot, crushed minerals and passion fruit. There is so much energy in this wine. The finish has a weightless quality that means, despite its high residual sugar level, the wine is actually easy to drink and is not weighed down by its own unctuousness. The killer aspect of this is the soupçon of bitter orange that hits the back of the throat. I suspected that a perfect Olerasay was possible after the first iteration. This is it. Despite this being a Cellar Favorite, don’t feel you are committing a heinous crime popping the cork now because who knows where we will be by the end of 2020. Just bear in mind that this wine will last decades.'</i> - Neal Martin, Vinous, 100/100 (Jul 2020)</p><p><i>   'Remarkable occasionally released dessert wine, Chenin Blanc from 3 parcels with highest acidity, mat-dried to intensify aromas and flavours; fractionally blended for further concentration, complexity and harmony. NV from 2008-2019 vintages, wonderfully elegant and multi-layered, near-perfect balance of acid and sugar.'</i> - Platter's SA Wine Guide 2021, 5* (97/100)</p><p><i>  A total one-off in the world of South African wine, this is the second release from the Mullineux's Chenin Blanc solera, made with components that date back to 2008. It has a cavity-challenging 331 grams of sugar, but you don't notice the sweetness because of the balancing acidity. Almond, marzipan, apple tart, citrus peel and layers of balsamic complexity make this one of the best sweet wines in the Cape. 2020-28'</i> - Tim Atkin MW, SA Special Report 2020, 97/100</p>";;;;;
Mullineux Olerasay;No.2;375ml;6;8904 - 846990;;"<p><i>'It is an ethereal wine that gives me no choice but to use a simple word loaded with meaning and one I rarely use with respect to wine...perfection. The 375ml bottle was examined over the course of two weeks during which time it barely changed. Each time I put it under a microscope looking for a fault. I never found one. Golden in colour, it has an intoxicating bouquet with orange sorbet, quince, lemon verbena and a very slight Aszú-like note that hovers in the background. Having recently tasted plenty of Sauternes, I can’t help noticing how the aromatics are unencumbered by a thick cloak of oak, thereby lending the bouquet brightness and vividness that is totally enthralling. This all translates across to the crystalline palate. The perfect seam of acidity cuts like an ancient Samurai sword through the viscous fruit whose purity is off the charts. This electrifying Olerasay does not mess about – it immediately thrills the senses with its mélange of blood orange, apricot, crushed minerals and passion fruit. There is so much energy in this wine. The finish has a weightless quality that means, despite its high residual sugar level, the wine is actually easy to drink and is not weighed down by its own unctuousness. The killer aspect of this is the soupçon of bitter orange that hits the back of the throat. I suspected that a perfect Olerasay was possible after the first iteration. This is it. Despite this being a Cellar Favorite, don’t feel you are committing a heinous crime popping the cork now because who knows where we will be by the end of 2020. Just bear in mind that this wine will last decades.'</i> - Neal Martin, Vinous, 100/100 (Jul 2020)</p><p><i>   'Remarkable occasionally released dessert wine, Chenin Blanc from 3 parcels with highest acidity, mat-dried to intensify aromas and flavours; fractionally blended for further concentration, complexity and harmony. NV from 2008-2019 vintages, wonderfully elegant and multi-layered, near-perfect balance of acid and sugar.'</i> - Platter's SA Wine Guide 2021, 5* (97/100)</p><p><i>  A total one-off in the world of South African wine, this is the second release from the Mullineux's Chenin Blanc solera, made with components that date back to 2008. It has a cavity-challenging 331 grams of sugar, but you don't notice the sweetness because of the balancing acidity. Almond, marzipan, apple tart, citrus peel and layers of balsamic complexity make this one of the best sweet wines in the Cape. 2020-28'</i> - Tim Atkin MW, SA Special Report 2020, 97/100</p>";;;;;
