Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
1,Harlan Estate,Napa Valley Red,1990,750,1,Yes,No,630,,,Jancis Robinson - 17.5/20,,
2,Harlan Estate,Napa Valley Red,1990,1500,1,Yes,No,629,,,Jancis Robinson - 17.5/20,,
3,Harlan Estate,Napa Valley Red,1992,750,1,Yes,No,662,,,Jancis Robinson - 17.5/20,Robert Parker - 96/100,Decanter - 94/100
4,Harlan Estate,Napa Valley Red,1993,750,1,Yes,No,648,,,Jancis Robinson - 17.5/20,Robert Parker - 95/100,
5,Harlan Estate,Napa Valley Red,1996,750,1,Yes,No,622,,,Robert Parker - 98/100,Jancis Robinson - 17.5/20,Decanter - 95/100
6,Harlan Estate,Napa Valley Red,1996,750,1,Yes,No,621,,,Robert Parker - 98/100,Jancis Robinson - 17.5/20,Decanter - 95/100
7,Harlan Estate,Napa Valley Red,1997,750,1,Yes,No,618,,Perfect 100 point score by Robert Parker.,Robert Parker - 100/100,Jancis Robinson - 17/20,
8,Harlan Estate,Napa Valley Red,1997,750,1,Yes,No,617,,Perfect 100 point score by Robert Parker.,Robert Parker - 100/100,Jancis Robinson - 17/20,
9,Harlan Estate,Napa Valley Red,1998,750,1,Yes,No,619,,,Robert Parker - 95/100,Jancis Robinson - 17.5/20,
10,Harlan Estate,Napa Valley Red,1999,750,1,Yes,No,628,,,Wine Enthusiast - 96/100,Jancis Robinson - 18/20,Decanter - 93/100
11,Harlan Estate,Napa Valley Red,2000,750,1,Yes,No,626,,,Wine Enthusiast - 98/100,Jancis Robinson - 18/20,Decanter - 94/100
12,Harlan Estate,Napa Valley Red,2002,750,1,Yes,No,660,,,Robert Parker - 100/100,Wine Enthusiast - 99/100,
13,Harlan Estate,Napa Valley Red,2003,750,1,Yes,No,625,,,Robert Parker - 98+/100,Jancis Robinson - 17/20,
14,Harlan Estate,Napa Valley Red,2003,750,1,Yes,No,624,,,Robert Parker - 98+/100,Jancis Robinson - 17/20,
15,Harlan Estate,Napa Valley Red,2003,750,1,Yes,No,659,,,Robert Parker - 98+/100,Jancis Robinson - 17/20,
16,Harlan Estate,Napa Valley Red,2004,750,1,Yes,No,661,OWC - 6 bottle ,,Robert Parker - 98/100,Jancis Robinson - 17/20,
17,Harlan Estate,Napa Valley Red,2004,750,1,Yes,No,686,OWC - 6 bottle ,,Robert Parker - 98/100,Jancis Robinson - 17/20,
18,Harlan Estate,Napa Valley Red,2004,750,1,Yes,No,685,OWC - 6 bottle ,,Robert Parker - 98/100,Jancis Robinson - 17/20,
19,Harlan Estate,Napa Valley Red,2004,750,1,Yes,No,684,OWC - 6 bottle ,,Robert Parker - 98/100,Jancis Robinson - 17/20,
20,Harlan Estate,Napa Valley Red,2004,750,1,Yes,No,683,OWC - 6 bottle ,,Robert Parker - 98/100,Jancis Robinson - 17/20,
21,Harlan Estate,Napa Valley Red,2004,750,1,Yes,No,682,OWC - 6 bottle ,,Robert Parker - 98/100,Jancis Robinson - 17/20,
22,Harlan Estate,Napa Valley Red,2004,750,1,Yes,No,681,,,Robert Parker - 98/100,Jancis Robinson - 17/20,
23,Harlan Estate,Napa Valley Red,2005,750,1,Yes,No,623,,,Robert Parker - 98+/100,Jancis Robinson - 17/20,
24,Harlan Estate,Napa Valley Red,2005,750,1,Yes,No,652,,,Robert Parker - 98+/100,Jancis Robinson - 17/20,
25,Harlan Estate,Napa Valley Red,2006,750,1,Yes,No,658,,,Robert Parker - 96/100,Jancis Robinson - 18.5/20,
26,Harlan Estate,Napa Valley Red,2007,750,1,Yes,No,614,,Perfect 100 point score by Robert Parker.,Robert Parker - 100/100,Jancis Robinson - 17+/20,
27,Harlan Estate,Napa Valley Red,2007,750,1,Yes,No,616,,Perfect 100 point score by Robert Parker.,Robert Parker - 100/100,Jancis Robinson - 17+/20,
28,Harlan Estate,Napa Valley Red,2007,750,1,Yes,No,615,,Perfect 100 point score by Robert Parker.,Robert Parker - 100/100,Jancis Robinson - 17+/20,
29,Harlan Estate,Napa Valley Red,2008,750,1,Yes,No,653,,,Wine Advocate - 96/100,Jancis Robinson - 17.5/20,
30,Harlan Estate,Napa Valley Red,2009,750,1,Yes,No,654,,,Wine Advocate - 97/100,Jancis Robinson - 17.5/20,Decanter - 93/100
31,Harlan Estate,Napa Valley Red,2010,750,1,Yes,No,675,OWC - 6 bottle,,Robert Parker - 98+/100,Jancis Robinson - 17.5/20,Decanter - 95/100
32,Harlan Estate,Napa Valley Red,2010,750,1,Yes,No,655,OWC - 6 bottle,,Robert Parker - 98+/100,Jancis Robinson - 17.5/20,Decanter - 95/100
33,Harlan Estate,Napa Valley Red,2010,750,1,Yes,No,676,OWC - 6 bottle,,Robert Parker - 98+/100,Jancis Robinson - 17.5/20,Decanter - 95/100
34,Harlan Estate,Napa Valley Red,2010,750,1,Yes,No,679,OWC - 6 bottle,,Robert Parker - 98+/100,Jancis Robinson - 17.5/20,Decanter - 95/100
35,Harlan Estate,Napa Valley Red,2010,750,1,Yes,No,678,OWC - 6 bottle,,Robert Parker - 98+/100,Jancis Robinson - 17.5/20,Decanter - 95/100
36,Harlan Estate,Napa Valley Red,2010,750,1,Yes,No,680,OWC - 6 bottle,,Robert Parker - 98+/100,Jancis Robinson - 17.5/20,Decanter - 95/100
37,Harlan Estate,Napa Valley Red,2010,750,1,Yes,No,677,,,Robert Parker - 98+/100,Jancis Robinson - 17.5/20,Decanter - 95/100
38,Harlan Estate,Napa Valley Red,2010,1500,1,Yes,No,674,,,Robert Parker - 98+/100,Jancis Robinson - 17.5/20,Decanter - 95/100
39,Harlan Estate,Napa Valley Red,2011,750,1,Yes,No,656,,,Jancis Robinson - 18/20,Decanter - 97/100,Wine Spectator - 93/100
40,Harlan Estate,Napa Valley Red,2012,750,1,Yes,No,657,,,Robert Parker - 99+/100,Jancis Robinson - 18/20,Wine Spectator - 93/100
