Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
1,Mouton Rothschild,Pauillac,1945,750,1,Yes,No,2347,,"In 1945, to commemorate the Allied victory, Baron Philippe de Rothschild had the idea of embellishing the Mouton Rothschild label with art-work: in this instance, a symbolic return of peace. He commissioned this from young unknown artist, Philippe Jullian. Having displayed early promise as a designer. This label is based on the famous 'V for Victory' that Churchill used throughout the war to rally the forces of freedom.",Wine Advocate - 100/100,Jancis Robinson - 19/20,
2,Mouton Rothschild,Pauillac,1947,750,1,Yes,No,1910,,"Label art by Jean Cocteau - Novelist, dramatist, painter and designer, but primarily a poet.",Wine Advocate - 97/100,Decanter - 97/100,
3,Mouton Rothschild,Pauillac,1947,1500,1,Yes,No,1608,,"Label art by Jean Cocteau - Novelist, dramatist, painter and designer, but primarily a poet.",Wine Advocate - 97/100,Decanter - 97/100,
4,Mouton Rothschild,Pauillac,1948,1500,1,Yes,No,1725,,"Label art by Marie Laurencin - She drew a pair of young bacchantes, endowing them with a typically childlike gravity.",Falstaff - 96/100,,
5,Mouton Rothschild,Pauillac,1949,1500,1,Yes,No,1666,,Label art by Andre Dignimont - Parisian painter has drawn the inside of a country pub for his label - one of the best vintages of the century.,Vinous - 100/100,Jancis Robinson - 19/20,Robert Parker - 94/100
6,Mouton Rothschild,Pauillac,1950,750,1,Yes,No,1906,,Label art by Georges Arnulf,,,
7,Mouton Rothschild,Pauillac,1951,750,1,Yes,No,1909,,Label art by Marcel Vertès - shepherd and shepherdess.,,,
8,Mouton Rothschild,Pauillac,1952,750,1,Yes,No,1905,,"Label art by Leonor Fini - A young 'She-Ram' demonstrates her capacity by sheer elegance and precision of her drawing, to lift everyday reality into the world of dreams.",,,
9,Mouton Rothschild,Pauillac,1952,1500,1,Yes,No,2301,,"Label art by Leonor Fini - A young 'She-Ram' demonstrates her capacity by sheer elegance and precision of her drawing, to lift everyday reality into the world of dreams.",Wine Spectator - 90/100,,
10,Mouton Rothschild,Pauillac,1953,1500,1,Yes,No,1596,,Centenary Commemorative label - showing contemporary portrait of Baron Nathaniel.,Wine Advocate - 95/100,Jancis Robinson - 17.5/20,
11,Mouton Rothschild,Pauillac,1954,750,1,Yes,No,1793,,"Label art by Jean Carzou - The allegory of the Wheel of Fortune reminds us that however generous, Nature, even at Mouton Rothschild, is never predictable.",,,
12,Mouton Rothschild,Pauillac,1955,750,1,Yes,No,1794,,Label art by Georges Braque - Celebrating a magnificent vintage with the simplicity of a great artist. Features in last scene of 'Diamonds are Forever' James Bond movie (1971),Wine Advocate - 98/100,,
13,Mouton Rothschild,Pauillac,1955,1500,1,Yes,No,1674,,Label art by Georges Braque - Celebrating a magnificent vintage with the simplicity of a great artist. Features in last scene of 'Diamonds are Forever' James Bond movie (1971),Wine Advocate - 98/100,,
14,Mouton Rothschild,Pauillac,1956,750,1,Yes,No,1792,,"Label art by Pavel Tchelitchew - 'La Tache de Vin' returns to the traditional theme of the Ram, expressing exuberance of nature under the controlling hand of man.",,,
15,Mouton Rothschild,Pauillac,1957,750,1,Yes,No,1795,,"Label art by André Masson, for the label he created a hymn in praise of contented drunkenness, where the figure of the slumbering drinker is intertwined with branches of the vine.",Vinous - 90/100,,
16,Mouton Rothschild,Pauillac,1957,1500,1,Yes,No,1697,,"Label art by André Masson, for the label he created a hymn in praise of contented drunkenness, where the figure of the slumbering drinker is intertwined with branches of the vine.",Vinous - 90/100,,
17,Mouton Rothschild,Pauillac,1960,1500,1,Yes,No,1530,,Label art by Jacques Villon - capturing the movement of the birds in the static geometry of the vines.,,,
18,Mouton Rothschild,Pauillac,1961,750,1,Yes,No,1518,,Label art by Georges Mathieu - explosive dynamism of his work for the label - typical of his style.,Wine Advocate - 98/100,Vinous - 98/100,
19,Mouton Rothschild,Pauillac,1961,750,1,Yes,No,1517,,Label art by Georges Mathieu - explosive dynamism of his work for the label - typical of his style.,Wine Advocate - 98/100,Vinous - 98/100,
20,Mouton Rothschild,Pauillac,1961,1500,1,Yes,No,2294,,Label art by Georges Mathieu - explosive dynamism of his work for the label - typical of his style.,Wine Advocate - 98/100,Vinous - 98/100,
21,Mouton Rothschild,Pauillac,1963,1500,1,Yes,No,1668,,"Label art by Bernard Dufour - Grapes and a recumbent human figure, with a line from Mallarmé's L'Après-midi d'un faune - ""Ainsi, quand des raisins j'ai sucé la carté..."" (Just so I sucked once the lustre from the grapes.)",,,
22,Mouton Rothschild,Pauillac,1964,1500,1,Yes,No,1631,,"Label art by Henry Moore - Three golden chalices cradled in cupped hands, evokes the solemn mood of some ancient ritual.",,,
23,Mouton Rothschild,Pauillac,1965,750,1,Yes,No,1775,,"Label art by Dorothea Tanning - 'She-lambs' true to her inspiration, a world of gracefully drifting dreams.",,,
24,Mouton Rothschild,Pauillac,1966,750,1,Yes,No,1778,,"Label art by Pierre Alechinsky - The 'Ram-Drinker' powerful but full of humour, seems to almost to leap off the bottle.",Robert Parker - 90/100,,
25,Mouton Rothschild,Pauillac,1966,1500,1,Yes,No,1663,,"Label art by Pierre Alechinsky - The 'Ram-Drinker' powerful but full of humour, seems to almost to leap off the bottle.",Robert Parker - 90/100,,
26,Mouton Rothschild,Pauillac,1967,750,1,Yes,No,1777,,"Label art by César Balaccini - makes use of present-day artefacts: paper clips, nuts and bolts.",,,
27,Mouton Rothschild,Pauillac,1967,1500,1,Yes,No,2261,,"Label art by César Balaccini - makes use of present-day artefacts: paper clips, nuts and bolts.",,,
28,Mouton Rothschild,Pauillac,1969,1500,1,Yes,No,1700,,"Label art by Joan Miró - Dominated y a vast, blood-red grape, his label includes a discreet but witty obeisance to the family: the blue and yellow of the Rothschild racing colours.",,,
29,Mouton Rothschild,Pauillac,1970,750,1,Yes,No,1780,,"Label art by Marc Chagall - Synthesis of the Jewish and Russian cultural traditions, half-realistic, half-symbolic Rather than wine, it was the living fruit of the vine, speared by a thrush or fed by a mother to her child. The 1970 vintage took second place, and was the highest ranked French wine, at the historic 1976 Judgment of Paris wine competition.",Wine Spectator - 96/100,Vinous - 94/100,
