Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
1,Penfolds,Grange,1951,750,1,yes,yes - 2004,1016,,The first experimental Grange made by Max Schubert and extremely rare. A valuable collector’s item because of its historical significance. Rare hand-blown bottles. ,,,
2,Penfolds,Grange,1952,375,1,yes,yes - 2010,1014,,First commercially released Penfolds Grange vintage. This bottle is signed by by visionary Max Schubert,Robert Parker - 89/100,,
3,Penfolds,Grange,1952,750,1,yes,yes - 2004,1015,,First commercially released Penfolds Grange vintage. Excellent Vintage - The Penfolds Journal,Robert Parker - 89/100,James Halliday - 100/100,
4,Penfolds,Grange,1955,750,1,yes,yes - 1998,695,,"The 1955 Grange was his crown jewel. It has been recognized as a “heritage wine” by the Australian National Trust, having won more awards (52 gold medals and 12 trophies) than any other Penfolds Grange vintage.",Jancis Robinson - 18.5/20,Wine Spectator - 90/100,
5,Penfolds,Grange,1959,750,1,Yes,No,1525,,,,,
6,Penfolds,Grange,1959,750,1,yes,Yes - 1994,766,,,,,
7,Penfolds,Grange,1960,750,1,yes,Yes - 2000/2001,1018,,,Robert Parker - 90/100,Jancis Robinson - 18/20,
8,Penfolds,Grange,1961,750,1,Yes,Yes - 2018,1741,,,Wine Spectator - 92/100,,
9,Penfolds,Grange,1961,750,1,yes,Yes - 1996,1742,,,Wine Spectator - 92/100,,
10,Penfolds,Grange,1961,750,1,yes,No,693,,,Wine Spectator - 92/100,,
11,Penfolds,Grange,1961,750,1,yes,Yes - 2016,1069,,,Wine Spectator - 92/100,,
12,Penfolds,Grange,1962,750,1,yes,Yes - 1996,1450,,,Robert Parker - 94/100,Jancis Robinson - 17.5/20,
13,Penfolds,Grange,1962,750,1,yes,Yes - 1998,642,,,Robert Parker - 94/100,Jancis Robinson - 17.5/20,
14,Penfolds,Grange,1963,750,1,yes,Yes - 1996,1524,,,Robert Parker - 94/100,Jancis Robinson - 16.5/20,
15,Penfolds,Grange,1963,750,1,yes,Yes - 1998,702,,,Robert Parker - 94/100,Jancis Robinson - 16.5/20,
16,Penfolds,Grange,1963,750,1,yes,Yes - 1998,633,,,Robert Parker - 94/100,Jancis Robinson - 16.5/20,
17,Penfolds,Grange,1964,750,1,yes,Yes - 2018,1938,,,Robert Parker - 90/100,,
18,Penfolds,Grange,1964,750,1,yes,Yes,1319,,,Robert Parker - 90/100,,
19,Penfolds,Grange,1964,750,1,yes,Yes - 1998,1017,,,Robert Parker - 90/100,,
20,Penfolds,Grange,1964,750,1,yes,No,1447,,,Robert Parker - 90/100,,
21,Penfolds,Grange,1964,750,1,yes,No,1743,,,Robert Parker - 90/100,,
22,Penfolds,Grange,1965,750,1,yes,No,1458,,,Jancis Robinson - 18/20,Decanter - 95/100,
23,Penfolds,Grange,1966,750,1,Yes,Yes- 1996,1973,,,Robert Parker - 93/100,James Halliday - 95/100,
24,Penfolds,Grange,1966,750,1,yes,Yes - 1998,700,,,Robert Parker - 93/100,James Halliday - 95/100,
25,Penfolds,Grange,1967,750,1,yes,Yes - 1994,1451,,,Jancis Robinson - 18/20,Wine Spectator - 91/100,Robert Parker - 90/100
26,Penfolds,Grange,1967,750,1,yes,No,1414,,,Jancis Robinson - 18/20,Wine Spectator - 91/100,Robert Parker - 90/100
27,Penfolds,Grange,1968,750,1,yes,No,1411,,,,,
28,Penfolds,Grange,1968,750,1,yes,No,1441,,,,,
29,Penfolds,Grange,1968,750,1,yes,No,1442,,,,,
30,Penfolds,Grange,1970,750,1,yes,Yes - 2000/2001,1493,,This release of Penfolds Grange won the coveted Jimmy Watson Trophy at the Royal Melbourne Wine Show.,Robert Parker - 89/100,,
31,Penfolds,Grange,1970,750,1,yes,Yes - 2014,1958,,This release of Penfolds Grange won the coveted Jimmy Watson Trophy at the Royal Melbourne Wine Show.,Robert Parker - 89/100,,
32,Penfolds,Grange,1971,750,1,yes,Yes - 2012,703,,1971 won first prize in Shiraz at the Wine Olympics in Paris. ,Wine Advocate - 96/100,Jancis Robinson - 19/20,Wine Spectator - 91/100
33,Penfolds,Grange,1971,750,1,yes,Yes - 2012,1957,,1971 won first prize in Shiraz at the Wine Olympics in Paris. ,Wine Advocate - 96/100,Jancis Robinson - 19/20,Wine Spectator - 91/100
34,Penfolds,Grange,1971,750,1,yes,Yes - 2012,1956,,1971 won first prize in Shiraz at the Wine Olympics in Paris. ,Wine Advocate - 96/100,Jancis Robinson - 19/20,Wine Spectator - 91/100
35,Penfolds,Grange,1971,750,1,yes,No,1491,,1971 won first prize in Shiraz at the Wine Olympics in Paris. ,Wine Advocate - 96/100,Jancis Robinson - 19/20,Wine Spectator - 91/100
36,Penfolds,Grange,1971,750,1,yes,No,694,,1971 won first prize in Shiraz at the Wine Olympics in Paris. ,Wine Advocate - 96/100,Jancis Robinson - 19/20,Wine Spectator - 91/100
