Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
1,Domaine de la Romanée-Conti,Échézeaux,1999,750,1,yes ,no,1925,,One of the top scoring vintages.,Vinous - 94/100,Wine Advocate - 92/100,
2,Domaine de la Romanée-Conti,Échézeaux,2007,750,1,Yes,No,777,,,Jancis Robinson - 18.5/20,Decanter - 91/100,Wine Advocate - 90/100
3,Domaine de la Romanée-Conti,Échézeaux,2010,750,1,Yes,No,778,,One of the top scoring vintages.,Jancis Robinson - 17.5/20,Vinous - 93+/100,Wine Advocate - 93-95/100
4,Domaine de la Romanée-Conti,Échézeaux,2010,750,1,Yes,No,779,,One of the top scoring vintages.,Jancis Robinson - 17.5/20,Vinous - 93+/100,Wine Advocate - 93-95/100
5,Domaine de la Romanée-Conti,Échézeaux,2010,750,1,Yes,No,780,,One of the top scoring vintages.,Jancis Robinson - 17.5/20,Vinous - 93+/100,Wine Advocate - 93-95/100
6,Domaine de la Romanée-Conti,Échézeaux,2014,750,1,Yes,No,2539,,One of the top scoring vintages.,Vinous - 93+/100,Jancis Robinson - 18.5/20,Decanter - 91/100
7,Domaine de la Romanée-Conti,Échézeaux,2014,750,1,Yes,No,2541,,One of the top scoring vintages.,Vinous - 93+/100,Jancis Robinson - 18.5/20,Decanter - 91/100
8,Domaine de la Romanée-Conti,Échézeaux,2014,750,1,Yes,No,2542,,One of the top scoring vintages.,Vinous - 93+/100,Jancis Robinson - 18.5/20,Decanter - 91/100
9,Domaine de la Romanée-Conti,Échézeaux,2015,750,1,Yes,No,1243,,One of the top scoring vintages.,Decanter - 95/100,Vinous - 94/100,Jancis Robinson - 17.5++/20
10,Domaine de la Romanée-Conti,Échézeaux,2015,750,1,Yes,No,781,,One of the top scoring vintages.,Decanter - 95/100,Vinous - 94/100,Jancis Robinson - 17.5++/20
