Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
1,Château d'Yquem,Sauternes,1892,750,1,Yes,Yes,480,OWC,,Wine Cellar Insider - 93/100,,
2,Château d'Yquem,Sauternes,1896,750,1,Yes,Yes,475,OWC,,Jancis Robinson - 19/20,Wine Spectator - 95/100,
3,Château d'Yquem,Sauternes,1896,750,1,Yes,Yes,477,OWC,,Jancis Robinson - 19/20,Wine Spectator - 95/100,
4,Château d'Yquem,Sauternes,1899,750,1,Yes,Yes,230,OWC,,Jancis Robinson - 20/20,,
5,Château d'Yquem,Sauternes,1909,750,1,Yes,Yes,479,OWC,,,,
6,Château d'Yquem,Sauternes,1909,750,1,Yes,Yes,416,OWC,,,,
7,Château d'Yquem,Sauternes,1914,750,1,Yes,Yes,485,OWC,,Jancis Robinson - 19.5/20,,
8,Château d'Yquem,Sauternes,1917,750,1,Yes,Yes,476,OWC,,James Suckling - 99/100,,
9,Château d'Yquem,Sauternes,1917,750,1,Yes,Yes,483,OWC,,James Suckling - 99/100,,
10,Château d'Yquem,Sauternes,1919,750,1,Yes,Yes,474,OWC,,,,
11,Château d'Yquem,Sauternes,1920,750,1,Yes,No,464,OWC,,,,
12,Château d'Yquem,Sauternes,1920,750,1,Yes,Yes,402,OWC,,,,
13,Château d'Yquem,Sauternes,1922,750,1,Yes,Yes,443,OWC,,Jancis Robinson - 18.5/20,,
14,Château d'Yquem,Sauternes,1922,750,1,Yes,Yes,434,OWC,,Jancis Robinson - 18.5/20,,
15,Château d'Yquem,Sauternes,1924,750,1,Yes,Yes,481,OWC,,Jancis Robinson - 20/20,,
16,Château d'Yquem,Sauternes,1924,750,1,Yes,Yes,453,OWC,,Jancis Robinson - 20/20,,
17,Château d'Yquem,Sauternes,1927,750,1,Yes,Yes,414,OWC,,,,
18,Château d'Yquem,Sauternes,1927,750,1,Yes,Yes,442,OWC,,,,
19,Château d'Yquem,Sauternes,1928,750,1,Yes,No,406,OWC,,Wine Advocate - 98/100,,
20,Château d'Yquem,Sauternes,1929,750,1,Yes,Yes - 2005,411,OWC,,Vinous - 100/100,Jancis Robinson - 19/20,Wine Spectator - 97/100
21,Château d'Yquem,Sauternes,1933,750,1,Yes,Yes,465,OWC,,,,
22,Château d'Yquem,Sauternes,1933,750,1,Yes,Yes,466,OWC,,,,
23,Château d'Yquem,Sauternes,1934,750,1,Yes,No,413,OWC,,Jancis Robinson - 19/20,Vinous - 95/100,
24,Château d'Yquem,Sauternes,1934,750,1,Yes,Yes,484,OWC,,Jancis Robinson - 19/20,Vinous - 95/100,
25,Château d'Yquem,Sauternes,1935,750,1,Yes,Yes,487,OWC,,Jancis Robinson - 18/20,,
26,Château d'Yquem,Sauternes,1935,750,1,Yes,Yes - 2008,403,OWC,,Jancis Robinson - 18/20,,
27,Château d'Yquem,Sauternes,1936,750,1,Yes,Yes,410,OWC,,Jancis Robinson - 18.5/20,,
28,Château d'Yquem,Sauternes,1936,750,1,Yes,Yes,460,OWC,,Jancis Robinson - 18.5/20,,
29,Château d'Yquem,Sauternes,1937,750,1,Yes,No,490,OWC,,Jancis Robinson - 19.5/20,Wine Advocate - 96/100,
