"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.6355/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0xbbbc7e996d18fc9328618dbdc1a9ef804beb0c835c17c0d8c737e79d30ea63ea","43903051","1686747141","2023-06-14 12:52:21","0x25375e1dafa37a31069d323a37a6f93eaf356123","","0x038c0998f580798f849ee8841a7e5dd5040f8df8","0","0","0","1.4978982","0.9519143061","0.62","","","0x61010060",""
"0x230154cfbebf1dbdc634d12beebdbc746362172a5f4c9835c6c5beb549dfb563","43903057","1686747155","2023-06-14 12:52:35","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.030909","0.0196426695","0.62","","","Grant Role",""
"0x9acd82ae7503dbc1c0f70ad2a33ba275af6a65d4e845934f46b096fd16a406e3","43903619","1686748398","2023-06-14 13:13:18","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0469076","0.0298097798","0.62","","","Mint",""
"0x5143e43daf8644df55fddb77fae25766113e5fbd1c41f12e4966b871dd404af1","43903622","1686748404","2023-06-14 13:13:24","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x93df67ef972a2783922113d2a4d75de34555dfbed0c2c257efdb28e38ecda524","43903627","1686748414","2023-06-14 13:13:34","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x6627cb68bafe4f1f239cd7ff32849cdf372aec5a277152fc0e0859fa9c684b06","43903630","1686748420","2023-06-14 13:13:40","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x590763310b924f9eaae136a121f840586fe039b35e908952f048e878456898cf","43903633","1686748428","2023-06-14 13:13:48","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x0f27c505565b4d8dbb5ca3d73542fbf8ead35a1fb6b577c5f9aaceab1671e1c6","43903637","1686748436","2023-06-14 13:13:56","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x634d4fbafc203363dcbadebeba362c35ec6680e887c2e06fe4fdbadab169fd08","43903642","1686748446","2023-06-14 13:14:06","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x78cbbcd964a784257773287cd5a8d7e549e96d9cdee01a8533469e2df61b04e9","43903646","1686748454","2023-06-14 13:14:14","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x604127d306b754f060c619a7da21f54a9495a6b69c8620d9d735313c9683f041","43903649","1686748462","2023-06-14 13:14:22","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0xe16a3e897d497ef4411d98834b1aaad6c966164b158e038689f7a1d12fad0b32","43903653","1686748470","2023-06-14 13:14:30","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x81793368e891b45188f124e23e16f30d9ffcbeb736df910246299f84da1deeb7","43903657","1686748478","2023-06-14 13:14:38","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xb50e0b7a4fb9507dface19746e256f2bd84c31c26d6f16a400fb0cfc2eb8b9ac","43903661","1686748486","2023-06-14 13:14:46","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xc60e1eb77cc9be076b4a8b3a16a713c9ead032775d7f57fe2ee55056fa6f6300","43903665","1686748496","2023-06-14 13:14:56","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x24e6a3d6219514374793c7865aecb16f64266172c5fff278f60eaa3de426113d","43903668","1686748502","2023-06-14 13:15:02","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x48680e356a18e38c4f32f72c0cdbc7f1f7686990cd511026344805c166e6d431","43903672","1686748510","2023-06-14 13:15:10","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x05e7197e037091a5e9d24dc8b594655014dc33afde54463ee3777419d1eb1175","43903677","1686748520","2023-06-14 13:15:20","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xbf0e5b6ae054385120f1c08bbe15764e81f842d85d779d3b43352d8b36a8cb87","43903680","1686748528","2023-06-14 13:15:28","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x6993bf67285608a899bfa046a755585fd2c7bd1ca8e78991ece6b3844db28c87","43903684","1686748536","2023-06-14 13:15:36","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x21097dea68a288cb0d7f0bb182f973a2640408a59078ce3f119dc854047b4f43","43903687","1686748542","2023-06-14 13:15:42","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x98fdc66dca542312189378e820bf774e7cbdb03e85e9cf30f834c345cb49ecda","43903691","1686748550","2023-06-14 13:15:50","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x98f103834bfd54b53792fd2ecab18cf9b169c096936e8cb3bd78ad83efd44113","43903695","1686748558","2023-06-14 13:15:58","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xd04bc97190dfce8be224f8334f2d27d8c1759bd2d9d9b2cb106188ecac53aefe","43903699","1686748568","2023-06-14 13:16:08","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x9ecfa80cca9bbcdc77e99fd99121ffba9d3f116e7a5e605ba05de944f6cd1008","43903703","1686748576","2023-06-14 13:16:16","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x614abd89d1dc42544508e31f1568a4505f930f05822f39de739d679e3cb24ea4","43903706","1686748582","2023-06-14 13:16:22","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xdc8ad0497c41b33fddfd0895856004871ed6c93859a16108f30ddd9771c57bda","43903710","1686748590","2023-06-14 13:16:30","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x3b07191499b2853e6536020c7a857d384e133616f2b77ffacf9490931cac46dd","43903713","1686748602","2023-06-14 13:16:42","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
