"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.6355/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x4fcc4b8acaf6b6d3b73b3b01c032a5526f342cd5344a4ca985dfa8b037002dbc","43903002","1686747037","2023-06-14 12:50:37","0x25375e1dafa37a31069d323a37a6f93eaf356123","","0x0d246974176dc089d131040166c8ef617ccad578","0","0","0","1.4978574","0.9518883777","0.62","","","0x61010060",""
"0x260f9a497ffa4008ec75702f579ea864c0373b9b529e1236eac7e04c288fd17d","43903013","1686747061","2023-06-14 12:51:01","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x0d246974176dc089d131040166c8ef617ccad578","","0","0","0","0.030909","0.0196426695","0.62","","","Grant Role",""
"0x917e17d537ea4e89d8892d0d81b1fd29ca0e37f63808c159194666fe6ef5df76","43903593","1686748342","2023-06-14 13:12:22","0xbe9ce10942d0648b56722e0a0d8ecc933d123563","0x0d246974176dc089d131040166c8ef617ccad578","","0","0","0","0.0469076","0.0298097798","0.62","","","Mint",""
"0xbab914ca927ac1214b7548eea3f0f3640baec11a1414f5a15ed7aecaa84aaeee","43903597","1686748350","2023-06-14 13:12:30","0xbe9ce10942d0648b56722e0a0d8ecc933d123563","0x0d246974176dc089d131040166c8ef617ccad578","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x8c5ac9ae879df7c74e8cadfbca5061d6bf07ced2cc4661050cbbf0557f4e1032","43903601","1686748360","2023-06-14 13:12:40","0xbe9ce10942d0648b56722e0a0d8ecc933d123563","0x0d246974176dc089d131040166c8ef617ccad578","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x72c05cfb6c93364450e1d14eb68e3cf39d742129d855e5aa158054d87b17a7ed","43903604","1686748366","2023-06-14 13:12:46","0xbe9ce10942d0648b56722e0a0d8ecc933d123563","0x0d246974176dc089d131040166c8ef617ccad578","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0xb2afc07ddeb98b8eb450b44a6c43b6488ad3dac80c30b5ef66be934f5a088dc1","43903608","1686748374","2023-06-14 13:12:54","0xbe9ce10942d0648b56722e0a0d8ecc933d123563","0x0d246974176dc089d131040166c8ef617ccad578","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0xfb1e78ba54c8a5f70c009a9b40bb8bc4dcc4fb407beceb699bc6d4790706bc73","43903612","1686748382","2023-06-14 13:13:02","0xbe9ce10942d0648b56722e0a0d8ecc933d123563","0x0d246974176dc089d131040166c8ef617ccad578","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x19ff5165d8d44ac8ed679e940a4a058144cf0963136266ac7e2f54f103f4ab19","43903616","1686748392","2023-06-14 13:13:12","0xbe9ce10942d0648b56722e0a0d8ecc933d123563","0x0d246974176dc089d131040166c8ef617ccad578","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0xb1737ede4f30015b7a275c3ccaacd59cda8a425ede1d00ce10efa672398a6c7e","43903619","1686748398","2023-06-14 13:13:18","0xbe9ce10942d0648b56722e0a0d8ecc933d123563","0x0d246974176dc089d131040166c8ef617ccad578","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
