"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.6358/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0xcdd08579f95c162e4bb943caa8cccc09e3ee324596f66f0faf14165375852333","43902948","1686746923","2023-06-14 12:48:43","0x25375e1dafa37a31069d323a37a6f93eaf356123","","0x0f580daf909e1dc0892301222ed60f59ee6f3770","0","0","0","1.497975","0.952412505","0.62","","","0x61010060",""
"0x8339eafd9c7e4701ee755913c55cfb243f30c0ab7ff7832f76031a10917dc0d6","43902957","1686746941","2023-06-14 12:49:01","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x0f580daf909e1dc0892301222ed60f59ee6f3770","","0","0","0","0.030909","0.0196519422","0.62","","","Grant Role",""
"0xb7a8512ef8b88779deb89495230cc9f113291b13ee50c24c57e9e26e0928e63c","43903343","1686747810","2023-06-14 13:03:30","0x94813e2a30871ad0d954c9f45eae1b8a923ed11e","0x0f580daf909e1dc0892301222ed60f59ee6f3770","","0","0","0","0.0469076","0.02982385208","0.62","","","Mint",""
"0xc3653a20346896c98545d1887f08ff11c4e4608c1baa3e6208ce48f802c87b6d","43903347","1686747820","2023-06-14 13:03:40","0x94813e2a30871ad0d954c9f45eae1b8a923ed11e","0x0f580daf909e1dc0892301222ed60f59ee6f3770","","0","0","0","0.0332276","0.02112610808","0.62","","","Mint",""
"0x9ef54281ff37ba3da5e85fdc92a9ff212a62c79d550437a54d986e4df7953fc7","43903351","1686747828","2023-06-14 13:03:48","0x94813e2a30871ad0d954c9f45eae1b8a923ed11e","0x0f580daf909e1dc0892301222ed60f59ee6f3770","","0","0","0","0.0332276","0.02112610808","0.62","","","Mint",""
"0x08e1f7140f2b721ba58139587b5bf6337dee7ff4eefc4bda61d9521986360f60","43903356","1686747838","2023-06-14 13:03:58","0x94813e2a30871ad0d954c9f45eae1b8a923ed11e","0x0f580daf909e1dc0892301222ed60f59ee6f3770","","0","0","0","0.0332276","0.02112610808","0.62","","","Mint",""
"0x916ad3d6fc9da5fd708b8c30f96da699c41d41539c6c48ca90e7f3094074745a","43903360","1686747848","2023-06-14 13:04:08","0x94813e2a30871ad0d954c9f45eae1b8a923ed11e","0x0f580daf909e1dc0892301222ed60f59ee6f3770","","0","0","0","0.0332276","0.02112610808","0.62","","","Mint",""
"0xd69deba923cad70a5a0326136b58d856f922ab0e485153fa824c541f94f268d9","43903364","1686747856","2023-06-14 13:04:16","0x94813e2a30871ad0d954c9f45eae1b8a923ed11e","0x0f580daf909e1dc0892301222ed60f59ee6f3770","","0","0","0","0.0332276","0.02112610808","0.62","","","Mint",""
"0x72ffffeaf25fb57d99c7ee933d979be5f90e63f7a6b8043a3e424bd01b9bd269","43903369","1686747866","2023-06-14 13:04:26","0x94813e2a30871ad0d954c9f45eae1b8a923ed11e","0x0f580daf909e1dc0892301222ed60f59ee6f3770","","0","0","0","0.0332276","0.02112610808","0.62","","","Mint",""
"0x0f7dddb62e27293fc0a128aaacab89188d86a8b38dc321d68f00fefaddf3c1b5","43903374","1686747876","2023-06-14 13:04:36","0x94813e2a30871ad0d954c9f45eae1b8a923ed11e","0x0f580daf909e1dc0892301222ed60f59ee6f3770","","0","0","0","0.0332276","0.02112610808","0.62","","","Mint",""
