"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.6354/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x6bc7d7b22c4ddb804f80ec3199033acd4b08a7a2687a8d7a1d1d5ad9bea83b70","44207264","1687439982","2023-06-22 13:19:42","0x25375e1dafa37a31069d323a37a6f93eaf356123","","0x2802551f79279079c8f65767862d58ca5609d33f","0","0","0","1.4803484","0.94061337336","0.66","","","0x60098054",""
"0x75dd1432d79d5795aeb21ff0c4a6ec2ba57d5b7f6182ff1cd40bd93794ad6434","44207273","1687440001","2023-06-22 13:20:01","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x2802551f79279079c8f65767862d58ca5609d33f","","0","0","0","0.0206056","0.01309279824","0.66","","","Grant Role",""
"0x4e6daf61876f1fc5e1a45722c149169a76c0e88665b2f276fca5eaa2f3774178","44207280","1687440017","2023-06-22 13:20:17","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x2802551f79279079c8f65767862d58ca5609d33f","","0","0","0","0.0206056","0.01309279824","0.66","","","Grant Role",""
"0x44e95e890802306ddada4e197fedc524b3aef40968b9c2e840c8e916565b1772","44207292","1687440041","2023-06-22 13:20:41","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x2802551f79279079c8f65767862d58ca5609d33f","","0","0","0","0.0206056","0.01309279824","0.66","","","Grant Role",""
"0x5ef5d2c29208b88cc8b9dd288387d86e987ce13f4a132a6c2dc2a152031da559","44207298","1687440055","2023-06-22 13:20:55","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x2802551f79279079c8f65767862d58ca5609d33f","","0","0","0","0.0206056","0.01309279824","0.66","","","Grant Role",""
"0x0af07c1bede221a7ea1a8939fc9b964b8b38eed2cfb8bd9148fb7d9aa0ff8d5a","44207306","1687440071","2023-06-22 13:21:11","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x2802551f79279079c8f65767862d58ca5609d33f","","0","0","0","0.0206056","0.01309279824","0.66","","","Grant Role",""
"0xa9674be22038222c9cbf3ec4fe07cc55523898dff0bad1d23acbfee264318953","44207313","1687440087","2023-06-22 13:21:27","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x2802551f79279079c8f65767862d58ca5609d33f","","0","0","0","0.0206056","0.01309279824","0.66","","","Grant Role",""
"0x6e3c09ee2169051d340c26c494ec0872a332b3033c24caaa72b7777ae39a11c9","44207320","1687440101","2023-06-22 13:21:41","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x2802551f79279079c8f65767862d58ca5609d33f","","0","0","0","0.0206056","0.01309279824","0.66","","","Grant Role",""
"0x8ee93d44e2b0f5673318ae42a972929744f6454ce65fce4dfadb85cd4aabc29d","44207329","1687440121","2023-06-22 13:22:01","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x2802551f79279079c8f65767862d58ca5609d33f","","0","0","0","0.0680392","0.04323210768","0.66","","","Mint",""
"0x06f5b958abe2ac8bb197b59a19b1bfee390dd946dcaea41d92f0c5fc19e61e01","44207465","1687440409","2023-06-22 13:26:49","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x2802551f79279079c8f65767862d58ca5609d33f","","0","0","0","0.0554792","0.03525148368","0.66","","","Mint",""
