"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.6355/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x269d6de70845a89337638be8de55b05b529b96e752482e18c01d0c1a535ff4a5","43902981","1686746993","2023-06-14 12:49:53","0x25375e1dafa37a31069d323a37a6f93eaf356123","","0x6058ee21b093ee36333aee29996ae9f967bc52eb","0","0","0","1.497783","0.9518410965","0.62","","","0x61010060",""
"0xfa3e109e4f0da8fc56f4722af6a1f300df3da1e8e5719a1fef6bd66d75113514","43902992","1686747017","2023-06-14 12:50:17","0x25375e1dafa37a31069d323a37a6f93eaf356123","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.030909","0.0196426695","0.62","","","Grant Role",""
"0xa51c7b5e7736686ee397a0b62c69df2a68eb20ffb2b3f5f85be4680b78765c7c","43903653","1686748470","2023-06-14 13:14:30","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0469076","0.0298097798","0.62","","","Mint",""
"0x54f24e34882324a7cbb184add0eb7faea194e33e6bf446c85061dfddea545cff","43903657","1686748478","2023-06-14 13:14:38","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0xd95dfb2b4201268815311ea895393dcb9b2eba905ac0bc207b14a09698966a21","43903660","1686748484","2023-06-14 13:14:44","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x11d356a92ae68649e09f150826ab7f55e0aa213975773faf03031efda22e88f8","43903664","1686748494","2023-06-14 13:14:54","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x04b16c0a7ee37a54f2a50b2b96aaacb8e9f014bb89900e234b3e22c9d59c05a5","43903668","1686748502","2023-06-14 13:15:02","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x3acef55ac166a21a612d353844a87c079bcdde4410bab433eb4068dd568038eb","43903672","1686748510","2023-06-14 13:15:10","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x4dbb0f17672b21cf17d0566ff8289eda29ac080602c275a3ee087205589d7780","43903676","1686748518","2023-06-14 13:15:18","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x63d98448cdb6c6cb582b2c934507d5ecff7ed3d97a9dff30c84361d44c442c28","43903680","1686748528","2023-06-14 13:15:28","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x03fafcb35f9bf4525d9048dd05c550d4cf26f8790ea6eb0980e1bc0a52a96475","43903684","1686748536","2023-06-14 13:15:36","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0xab5a743f3137c93230f1e54deca89040aaf542caba06001e93044c0b8b5864f0","43903688","1686748544","2023-06-14 13:15:44","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x5ba34abe2ed9a0a30b7da84235d00f1f4d28b2899efb56748d5d4a1f414429ae","43903691","1686748550","2023-06-14 13:15:50","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xc3d9a807dbc334524639c56c7386d8268c867aa41741ddd8c00312f75aed22c4","43903696","1686748562","2023-06-14 13:16:02","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x78b3f2ac6dc85c3eb0c5c2d643de5cf580b54a056b11d8a2d098a16258e3723a","43903699","1686748568","2023-06-14 13:16:08","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xc2f374ed8931a12f0c7d795c03b3d69b8253f9083ae1fd490b23709106aa68e7","43903703","1686748576","2023-06-14 13:16:16","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x5001eba6efaf95328f59922d9007f5846ffa3aaefc8fd669363d02cf03271ec2","43903707","1686748584","2023-06-14 13:16:24","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x817886aaacf0d53b4162f2288c74916674e4985444000500abd80991fffbb052","43903712","1686748598","2023-06-14 13:16:38","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x0dcddb39767c8d5abc142e5d1d7c27658854877b97bdc0f56e6146de7837ac94","43903714","1686748606","2023-06-14 13:16:46","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xae6600f02ef13b6bc22b6b130170445e0f5fed86f77599e190f3208c444a772f","43903715","1686748610","2023-06-14 13:16:50","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x9ae3d40a6fc3b986972971256395c8165065d2455a3f3ee5ea4551adc947fb5f","43903718","1686748622","2023-06-14 13:17:02","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x2e06b19019f63013fbf8837f2c8b7575d02dc718bbebbc0a8bd06d9d4f789b3e","43903719","1686748626","2023-06-14 13:17:06","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x6df5890b753659513a2290c15c5cff8ef80a4563a8d104eae1682e30a1f37da1","43903721","1686748634","2023-06-14 13:17:14","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x678271108d67b0176266f18bedd07083f37d0e98815940bb2e355e1a6c136b47","43903723","1686748642","2023-06-14 13:17:22","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x8a61e5e0d4d3e8971dac694de485bf4e04b4c91c85da310e2147a3b57c04e81f","43903725","1686748650","2023-06-14 13:17:30","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xc1ad65acbd6fc3c60abc52e7bba532567e27ed82809f2933f409dc3c6ecd4a1f","43903727","1686748658","2023-06-14 13:17:38","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xc67b6a4694c4436dcf4b6b4d2484d68a338b7600834dfc9c08ace357b589aea1","43903732","1686748670","2023-06-14 13:17:50","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x07671269923cb7dad4c5d218c71f14b04b9e330cc870280ab52aee4033eb88ad","43903948","1686749128","2023-06-14 13:25:28","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xb5db1d9aba1296b628c84681149eeffccc506dfb0f13629bbf533515700ec678","43903952","1686749140","2023-06-14 13:25:40","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xb2600e8b86d0d8b00f0eac26a9a15c861c4ac25798e1dd297062a63e796e3789","43903953","1686749144","2023-06-14 13:25:44","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x9147c0b1b47f61d4c1d77b0571548202caa686c72d70eb88fcdc4a4f4d144d4a","43903955","1686749152","2023-06-14 13:25:52","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xd967aeea906cf9af76fb667e8fb0dade9a927562e02bfba768d22366ec7d5956","43903957","1686749160","2023-06-14 13:26:00","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x6f8c03e85c57a8908bd16d374992fb6d971b086f52376784ded05eff007fa132","43903960","1686749172","2023-06-14 13:26:12","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x55f49afce91f899a26f3413356a985e5c932afaed5b5405d36f929eafd8cd7d0","43903962","1686749180","2023-06-14 13:26:20","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x3df33c59168a15a7c2021a31f7c3d2747c4c43aff97c38d04f931e42cc4b6747","43903964","1686749188","2023-06-14 13:26:28","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xfcd3cea01323a9f4ad82257d5bc1a9796ac811bceab8143836785a0c507a6e84","43903965","1686749192","2023-06-14 13:26:32","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x71b73440263ef2604cda7baedcfbe6f33cc5ac4b75f8d20bbb736e4559390a68","43903975","1686749218","2023-06-14 13:26:58","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x44cc7fc6c4a302d8f8bae54275a5c4b90eb7a622603e025d0d4eaa1f39fb5c62","43903975","1686749218","2023-06-14 13:26:58","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x85a5a58cbd9cacb30a996fea4d31a815d64b22d6ae99dc9f3936c7eb2474fff4","43903985","1686749240","2023-06-14 13:27:20","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x7124521039a47685ead5dbfcbc40e921f9c936dd0b0b153391f565244a667e1b","43903985","1686749240","2023-06-14 13:27:20","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x67184d24950234ef50c175ec0687d85ef31635d52f3a8ca2ca65fd7370cd4c9d","43903985","1686749240","2023-06-14 13:27:20","0x011c2a4457a1f262481e10534b5130104622fc10","0x6058ee21b093ee36333aee29996ae9f967bc52eb","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
