"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.6355/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x406e019651919d0902f7cce17561f9ba2f91904985203f355ee0dfc9ed558d07","43903021","1686747077","2023-06-14 12:51:17","0x25375e1dafa37a31069d323a37a6f93eaf356123","","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","0","0","0","1.497783","0.9518410965","0.62","","","0x61010060",""
"0x849068b3a166b34080d1fa10104c66a80bfb2df15aacbb291f8bb225ccb43908","43903028","1686747093","2023-06-14 12:51:33","0x25375e1dafa37a31069d323a37a6f93eaf356123","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.030909","0.0196426695","0.62","","","Grant Role",""
"0xe0f7d399e933985a728c040412b834a86010539bd54c83744223d90c44c6d896","43903572","1686748298","2023-06-14 13:11:38","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0469076","0.0298097798","0.62","","","Mint",""
"0x962c505882f044b047a917b581ce294cfe510d45c63290cd00526f83709edec6","43903576","1686748306","2023-06-14 13:11:46","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x0f8906747585e572b94b82a5cbc33e625b42151c983d1694af2d6cf82100e290","43903581","1686748316","2023-06-14 13:11:56","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x43dc1ccd60a6cc65f64d8aaec1f5e14d18d95854fad8088e8464980b8c0ea7f7","43903585","1686748326","2023-06-14 13:12:06","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x0ed1c3ec76a0cb246774e05810d06fe366e0e0a18e3731be179069c8f1d3d172","43903589","1686748334","2023-06-14 13:12:14","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x439e68fde6c72e7ae0692dc7af2cb50de21e22084178a38ea3d2e9077f2b107c","43903594","1686748344","2023-06-14 13:12:24","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x2964451036b32c80e83ea580fbb9212e011f339196faae38e4fc98dee3cb36bb","43903598","1686748352","2023-06-14 13:12:32","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x6dfaf27b6c589e09680b585dbdef22233df8c2ed1147db4316c674525c8f2f3b","43903601","1686748360","2023-06-14 13:12:40","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x111e33412682599489293ae1e4e71e2b58a4a79eba97d74e79d3eb2e0abe12a2","43903606","1686748370","2023-06-14 13:12:50","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x44cede288f09632b4ae67aa92cdad650d31471b838ffb0413224b32084ffd80a","43903609","1686748376","2023-06-14 13:12:56","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x8da750ea718a53123f3ed56fb901c03e0e340bd907d94d49d2209dbc6a2e0f96","43903615","1686748388","2023-06-14 13:13:08","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x7ec3cfb149373bd17b3b4164af478344a4fa378a6e7c1e58d745ead6288fb12a","43903619","1686748398","2023-06-14 13:13:18","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x9d0a4b68374310b84782826ac7599f6c14ed7c6a969ff1255161ea5a7c50857b","43903623","1686748406","2023-06-14 13:13:26","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x047662a6474aa727ab40f623d64352731d83c33853245d8a2d246528aad2539b","43903627","1686748414","2023-06-14 13:13:34","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x93c0fab9cf996ded0bce10857cc3bbea4458f03d156e20605a96739c104fbff0","43903632","1686748426","2023-06-14 13:13:46","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x4c55b0ad3b290e09f1160339606c33213c6e1e5d2b34e47c35c507846c3f1a26","43903636","1686748434","2023-06-14 13:13:54","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xcefbb8641f39da2b9fac1f690554d68d983c9959e1647340aa6876a088b395c1","43903640","1686748442","2023-06-14 13:14:02","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xd07b428253a2746e24e0686b86be80efa9df59d6c82589a7ba0afadd81067f23","43903644","1686748450","2023-06-14 13:14:10","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x09517f2952ae58e8c2f7c7fede9de07328b0d30c1269db6d6fd9666e2f6b9b4d","43903648","1686748460","2023-06-14 13:14:20","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x548999249e6e923dca057cca00d7d7225c91b173eb7446d214462c61de4d08f9","43903652","1686748468","2023-06-14 13:14:28","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xdc582cedac3bb37ef8ededfd43777ba22a35e75710e40bdeabbf4a60daede91b","43903656","1686748476","2023-06-14 13:14:36","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x2765103125be72333c49d2f0acefc7dd7c373d69276f0c87ead3252918415d8b","43903660","1686748484","2023-06-14 13:14:44","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x53e78f3c241edb23caf4b8bf0ba4d59f3c12fcdb69ad90d4ce8d133db7718f10","43903664","1686748494","2023-06-14 13:14:54","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x8aff2c3a38c1fbfecd26100112ab1529715c2f187738c640c38ace93356bd8d0","43903668","1686748502","2023-06-14 13:15:02","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x7a97fc005dc58694f32df53755c78c64591d445f583990caf0a4d76ff1ccbbb3","43903672","1686748510","2023-06-14 13:15:10","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x2f7e8ed3256d6e9d6c23c1df66abe6390fc3f6f7e212310d1258edc58b434f3c","43903677","1686748520","2023-06-14 13:15:20","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x437a580fe5a58c56654f7cd7d75a5c184882dc55b8ed724c27903dc63e150564","43903680","1686748528","2023-06-14 13:15:28","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xc5d5b0b4457363d06c1df5ca21299ff6adfee80924adba87d0a09644fd378871","43903683","1686748534","2023-06-14 13:15:34","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x517268aafa981b2ff04f63ff70c840da13051b8b74ddb82f59c54c31f5f5931c","43903688","1686748544","2023-06-14 13:15:44","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xb50bba4f69d8bfbf4ec8ef3b7a805c3f4e5f3327a24156b3f875e5021c9f03cf","43903691","1686748550","2023-06-14 13:15:50","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x4d20f4a0dc0b31dfdca7311fec489f3d562781119c9ce90369ec71de97174784","43903696","1686748562","2023-06-14 13:16:02","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x84c8a474cfb7645040e7ca703446f6442c533a202e054c469d467236a885b90f","43903699","1686748568","2023-06-14 13:16:08","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x63ba264be5b44f65b8b12b7173f06836afde7b41d7d5beef7960fccd2ac171aa","43903702","1686748574","2023-06-14 13:16:14","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xd371221041746cdc5586a11989400bd5f2b8234aca854064c86c7d38bf3debbc","43903706","1686748582","2023-06-14 13:16:22","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x04da733697d5e2f4cb5c70cae704a9e923991c3cb21937a2e7eec906909db321","43903710","1686748590","2023-06-14 13:16:30","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x7e2d60cbbdbf948b6e204b9b9b66418fef868d97e67a8ef9bbbc65067c70f480","43903713","1686748602","2023-06-14 13:16:42","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x544e1157d974b440621df36fdf9bd7912bdb2db86c0925d5235c067c61483694","43903715","1686748610","2023-06-14 13:16:50","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x557b792a6310051870764483ad8f295a0093cf94339bb7e4e5f9005029beb2ba","43903717","1686748618","2023-06-14 13:16:58","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x2ceb4fc3ba4606add22039fa32b9c7ba963a76492ea77f27c0200ef0f3233f24","43903719","1686748626","2023-06-14 13:17:06","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x4e89cc2f7ad29d0565008cd6afdc3656c92fc2850950689ae4e60130e1b3f78b","43903721","1686748634","2023-06-14 13:17:14","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x038c481cfd635ddfe690811506f0663787e8077d729c533c93e3638dc994162e","43905779","1686753422","2023-06-14 14:37:02","0x25375e1dafa37a31069d323a37a6f93eaf356123","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.030909","0.0196426695","0.62","","","Grant Role",""
"0x61d5772bf432c64a6a042f45083e1bb3715527eea09fde7cd5c085a341835767","43905787","1686753438","2023-06-14 14:37:18","0x25375e1dafa37a31069d323a37a6f93eaf356123","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.019959","0.0126839445","0.62","","","Set Royalties",""
"0xca9e84522cc991eebdd608867a085140476c17bce25716e2dcb7768f2b924ec4","43905794","1686753454","2023-06-14 14:37:34","0x25375e1dafa37a31069d323a37a6f93eaf356123","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0177036","0.0112506378","0.62","","","Revoke Role",""
"0xaf396cde75dea68e91f47b1d2b7e50021c85ee77d3d523e0e7dd54451fc7bfdf","43905928","1686753770","2023-06-14 14:42:50","0x25375e1dafa37a31069d323a37a6f93eaf356123","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0177036","0.0112506378","0.62","","","Revoke Role",""
"0xdf08740b56c8c66d9e465d2122b5679faaf64f1aca3f30f5f093842e360ba44c","44208437","1687442594","2023-06-22 14:03:14","0x4f2d3ff9b1f42401b72bb4378b2513447d150956","0xa44ca542eec0f8f91d2cbc63230b1b9f9816f9f9","","0","0","0","0.0185152","0.0117664096","0.66","","","Set Approval For All",""
