"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.6355/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x9949838537661511cae3f0f4445adb7828b767925139d061e10c8909f7619ab3","43903036","1686747109","2023-06-14 12:51:49","0x25375e1dafa37a31069d323a37a6f93eaf356123","","0xede4662aeab7fb9ac316476643cc836a171a12b0","0","0","0","1.4979366","0.9519387093","0.62","","","0x61010060",""
"0x6f06d2869f3374dcf0b084a3f9b117b8da913fe89eaacb6ee8242f2178d3da39","43903043","1686747125","2023-06-14 12:52:05","0x25375e1dafa37a31069d323a37a6f93eaf356123","0xede4662aeab7fb9ac316476643cc836a171a12b0","","0","0","0","0.030909","0.0196426695","0.62","","","Grant Role",""
"0xba98bcb00dd0a16ba6dc2eefe722399763a07f8c3a03ab6a1e65ec462ef3e8fe","43903644","1686748450","2023-06-14 13:14:10","0x797d27c6767221e71590d0692ce9b9096bdd3c65","0xede4662aeab7fb9ac316476643cc836a171a12b0","","0","0","0","0.0469076","0.0298097798","0.62","","","Mint",""
"0x1e2d8af3c2e94539b82f35bf3a023ef9b42cc75e2463136a299e72d8120ad150","43903649","1686748462","2023-06-14 13:14:22","0x797d27c6767221e71590d0692ce9b9096bdd3c65","0xede4662aeab7fb9ac316476643cc836a171a12b0","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x6b0d91220b516dcb3c245bc50d59f0af9c2f45a135c00c64062ac009c28008e7","43903651","1686748466","2023-06-14 13:14:26","0x797d27c6767221e71590d0692ce9b9096bdd3c65","0xede4662aeab7fb9ac316476643cc836a171a12b0","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0xef043a09d207c7d81605e906447061e3b77d4543fec0d3c5866932380fc9bea6","43903656","1686748476","2023-06-14 13:14:36","0x797d27c6767221e71590d0692ce9b9096bdd3c65","0xede4662aeab7fb9ac316476643cc836a171a12b0","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x50e0a5ed6d24d343ba7da653bc092aae2c2103e07ff2ec098713272f8e1e7066","43903659","1686748482","2023-06-14 13:14:42","0x797d27c6767221e71590d0692ce9b9096bdd3c65","0xede4662aeab7fb9ac316476643cc836a171a12b0","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x8ed977e1d1b41a72eb3de733da79e705b40fba8b266bb3a61dce1135890d61e1","43903663","1686748490","2023-06-14 13:14:50","0x797d27c6767221e71590d0692ce9b9096bdd3c65","0xede4662aeab7fb9ac316476643cc836a171a12b0","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0x55a7cb86508f9a334f64e58f7d548a6567e9b77957e0c4a3ffb7e5e2c5b6c954","43903667","1686748500","2023-06-14 13:15:00","0x797d27c6767221e71590d0692ce9b9096bdd3c65","0xede4662aeab7fb9ac316476643cc836a171a12b0","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
"0xe7724bac0ac45b49e9f3b6d2823558883c07c7de5e135a8b235af409d75bc8bc","43903671","1686748508","2023-06-14 13:15:08","0x797d27c6767221e71590d0692ce9b9096bdd3c65","0xede4662aeab7fb9ac316476643cc836a171a12b0","","0","0","0","0.0332276","0.0211161398","0.62","","","Mint",""
