,vintage,nr_tokens,name,volume_ml,lot_size,seal code,description,description_missing,multplier,full_description,src_image,dst_image
0,1986,1,Vin de Constance 1986,500,1,,"‘Intense, lifted, fresh honey and lemon bouquet. Racy, minerally acid lends vivid clarity to the rich fruit, silky texture. Excellent balance. Incisively clean, long. Amazingly youthful.’  Angela Lloyde‘Startling caramelised orange nose, smoky, a touch of rancio, vivid. Medium bodied, moderate concentration, good acidity, a trace of oxidation, yet vibrant, with some tropical fruit. Peppery finish, fine length.’ Stephen Brook, Decanter magazine.",0,,"‘Intense, lifted, fresh honey and lemon bouquet. Racy, minerally acid lends vivid clarity to the rich fruit, silky texture. Excellent balance. Incisively clean, long. Amazingly youthful.’  Angela Lloyde‘Startling caramelised orange nose, smoky, a touch of rancio, vivid. Medium bodied, moderate concentration, good acidity, a trace of oxidation, yet vibrant, with some tropical fruit. Peppery finish, fine length.’ Stephen Brook, Decanter magazine.",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1986 F066 - 606503 (AL 193014).jpg,farms/klein-constansia/vdc/output/assets/0.jpg
1,1987,1,Vin de Constance 1987,500,1,,"'The first commercially sold vintage of the modern era is superb and rigid. Raisined fruit softness, with salted caramels and coffee. The creamy palate is laced with incredible lasting acidity, culminating in a savoury tail – like a sweet Oloroso.’ – Higgo Jacobs 2020, 96/100
‘1986, limited bottling of unfortified replica of fabled 18th century dessert Constantias of Hendrick Cloete. Made every year at Klein Constantia since 1986 from Muscat de Frontignan – same clone selection as originally imported from western France by Governor Jan van Riebeeck in 1656. 1987 deeper coloured than 1986, more alcoholic at 15% cf. 14%, more mellifluous, more amply endowed with range of apricot-honey scents. Small barrel-aged, in newer oak than in historic bottlings. In Cloete’s day, stems of bunches twisted when ripe and left to hang on vine, sugar and flavour concentration intensified by evaporation, leading to natural alcohols of up to 17%. Gower gets same result by halving the crop. – Platter’s SA Wine Guide (1992)
‘Wonderfully balanced, with limey freshness, nutty complexity and dabs of tropical fruit. A true legend that is still very much alive today.’ – Roland Peens, 96 points (2018)",0,,"'The first commercially sold vintage of the modern era is superb and rigid. Raisined fruit softness, with salted caramels and coffee. The creamy palate is laced with incredible lasting acidity, culminating in a savoury tail – like a sweet Oloroso.’ – Higgo Jacobs 2020, 96/100
‘1986, limited bottling of unfortified replica of fabled 18th century dessert Constantias of Hendrick Cloete. Made every year at Klein Constantia since 1986 from Muscat de Frontignan – same clone selection as originally imported from western France by Governor Jan van Riebeeck in 1656. 1987 deeper coloured than 1986, more alcoholic at 15% cf. 14%, more mellifluous, more amply endowed with range of apricot-honey scents. Small barrel-aged, in newer oak than in historic bottlings. In Cloete’s day, stems of bunches twisted when ripe and left to hang on vine, sugar and flavour concentration intensified by evaporation, leading to natural alcohols of up to 17%. Gower gets same result by halving the crop. – Platter’s SA Wine Guide (1992)
‘Wonderfully balanced, with limey freshness, nutty complexity and dabs of tropical fruit. A true legend that is still very much alive today.’ – Roland Peens, 96 points (2018)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1987 F071 - 340760 (GI 280940).jpg,farms/klein-constansia/vdc/output/assets/1.jpg
2,1988,1,Vin de Constance 1988,500,1,,"‘Brooding, dark, smoky notes. This is evolved, but stable. Much drier than the 1987, the ’88 is better suited as an aperitif than dessert wine. A firm acid backbone and saline centre holds intact. Good condition.’ – Higgo Jacobs 2020, 92/100
‘Hugely complex on nose with Muscat fragrance, spice, white mushroom and some nuttiness, while the palate showed great focus and freshness. In terms of flavour, an almost peppery intensity before a long, saline finish.’ – Christian Eedes, Winemag.co.za 18/20 (2011)
‘The 1988 Vin de Constance has a deep nutty color. The nose is fully mature but beautifully defined with lifted Muscat notes augmented by hazelnut, marmalade and a touch of mint. The palate is medium-bodied with a bright, citric entry with hints of rosewater, quince, orange zest and dried apricot. It is very focused and full of tension on the finish although to be honest, I cannot envisage it improving further and I would gladly drink any bottles I had sooner rather than later.’ – Neal Martin, Wine Advocate 88/100 (2013)",0,,"‘Brooding, dark, smoky notes. This is evolved, but stable. Much drier than the 1987, the ’88 is better suited as an aperitif than dessert wine. A firm acid backbone and saline centre holds intact. Good condition.’ – Higgo Jacobs 2020, 92/100
‘Hugely complex on nose with Muscat fragrance, spice, white mushroom and some nuttiness, while the palate showed great focus and freshness. In terms of flavour, an almost peppery intensity before a long, saline finish.’ – Christian Eedes, Winemag.co.za 18/20 (2011)
‘The 1988 Vin de Constance has a deep nutty color. The nose is fully mature but beautifully defined with lifted Muscat notes augmented by hazelnut, marmalade and a touch of mint. The palate is medium-bodied with a bright, citric entry with hints of rosewater, quince, orange zest and dried apricot. It is very focused and full of tension on the finish although to be honest, I cannot envisage it improving further and I would gladly drink any bottles I had sooner rather than later.’ – Neal Martin, Wine Advocate 88/100 (2013)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1988 F078 - 176480 (LG 687038).jpg,farms/klein-constansia/vdc/output/assets/2.jpg
3,1989,1,Vin de Constance 1989,500,1,,"‘Offers a lovely amber color, with blood orange, bitter almond, clove, green tea and dried persimmon notes backed by a noticeably spicy Muscat hint on the finish. More rustic and broader than the other vintages, and not quite as deep or long.--Non-blind Vin de Constance vertical. Drink now through 2017. 2,425 cases made.’ – Wine Spectator (Tasted 2010), 90/100",0,,"‘Offers a lovely amber color, with blood orange, bitter almond, clove, green tea and dried persimmon notes backed by a noticeably spicy Muscat hint on the finish. More rustic and broader than the other vintages, and not quite as deep or long.--Non-blind Vin de Constance vertical. Drink now through 2017. 2,425 cases made.’ – Wine Spectator (Tasted 2010), 90/100",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1989 0037 - 975339 (QY 486713).jpg,farms/klein-constansia/vdc/output/assets/3.jpg
4,1990,1,Vin de Constance 1990,500,1,,"‘Clear, layered mahogany / bronze with a green rim. Raisins with dried apricots and citrus peel on appealing, mellow, nose, focussed by a little VA. Luscious, sweet entry with good minerally acid core; vivid, apparently youthful flavours, long racy finish.’ – Angela Lloyd 2002, 4.5*",0,,"‘Clear, layered mahogany / bronze with a green rim. Raisins with dried apricots and citrus peel on appealing, mellow, nose, focussed by a little VA. Luscious, sweet entry with good minerally acid core; vivid, apparently youthful flavours, long racy finish.’ – Angela Lloyd 2002, 4.5*",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1990 0126 - 041753.jpg,farms/klein-constansia/vdc/output/assets/4.jpg
5,1991,1,Vin de Constance 1991,500,1,,"‘One of the Cape’s few cult wines - justified as much as inherent individuality as its icon status with the British - UK visitors to the Cape can be identified by the number of cases of Constance in their luggage. “ – Platter's SA Wine Guide 1996, 5*
‘Part of a wine legitimately taking on icon status is that it should impress most times it is drunk and the Vin de Constance 1991 from Klein Constantia didn’t disappoint yesterday. Deep brown in colour, it nevertheless had fantastic aromatics and flavour – dried flowers, mint humbug, caramel, mushroom, a certain loaminess. Intricate and wonderfully balanced – nothing obvious or aggressive about it. A special treat.’ – Christian Eedes, Winemag.co.za 95/100 (2014)",0,,"‘One of the Cape’s few cult wines - justified as much as inherent individuality as its icon status with the British - UK visitors to the Cape can be identified by the number of cases of Constance in their luggage. “ – Platter's SA Wine Guide 1996, 5*
‘Part of a wine legitimately taking on icon status is that it should impress most times it is drunk and the Vin de Constance 1991 from Klein Constantia didn’t disappoint yesterday. Deep brown in colour, it nevertheless had fantastic aromatics and flavour – dried flowers, mint humbug, caramel, mushroom, a certain loaminess. Intricate and wonderfully balanced – nothing obvious or aggressive about it. A special treat.’ – Christian Eedes, Winemag.co.za 95/100 (2014)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1991 0220 - 864092.jpg,farms/klein-constansia/vdc/output/assets/5.jpg
6,1992,1,Vin de Constance 1992,500,1,,"‘Nuts, Christmas spices, oranges and starfruit – delicious citric spritz. Caramel, cream, lemon, lime, orange, preserved tropical fruits. Still very powerful and focused, with a persistent length and a really quite youthful sort of concentration as well as plenty of secondary character.’ - Richard Hemming MW, JancisRobinson.com, 17.5+/20 (2009)
‘Brilliant gold, amber tinge at centre. Fresh mint, raisins, lime marmalade scents. Similarly vibrant apricot, citrus concentration; mouthcoating richness; excellent sugar / acid balance.’ – Angela Lloyd 2002, 4.5 Stars
'A lighter and more subtle vintage, with lower intensity and sweetness. Elegant and drier expression of Vin de Constance.’ – Higgo Jacobs 2016, 92/100",0,,"‘Nuts, Christmas spices, oranges and starfruit – delicious citric spritz. Caramel, cream, lemon, lime, orange, preserved tropical fruits. Still very powerful and focused, with a persistent length and a really quite youthful sort of concentration as well as plenty of secondary character.’ - Richard Hemming MW, JancisRobinson.com, 17.5+/20 (2009)
‘Brilliant gold, amber tinge at centre. Fresh mint, raisins, lime marmalade scents. Similarly vibrant apricot, citrus concentration; mouthcoating richness; excellent sugar / acid balance.’ – Angela Lloyd 2002, 4.5 Stars
'A lighter and more subtle vintage, with lower intensity and sweetness. Elegant and drier expression of Vin de Constance.’ – Higgo Jacobs 2016, 92/100",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1992 0357 - 634251.jpg,farms/klein-constansia/vdc/output/assets/6.jpg
7,1993,1,Vin de Constance 1993,500,1,,,1,,,farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1993 0508 - 813785.jpg,farms/klein-constansia/vdc/output/assets/7.jpg
8,1994,1,Vin de Constance 1994,500,1,,"‘A vintage with immense power and concentration, and still in quite a burly and youthful stage, almost bold and brooding. Big and luscious, but with superb definition. One for the long haul’ – Higgo Jacobs 2016, 95/100",0,,"‘A vintage with immense power and concentration, and still in quite a burly and youthful stage, almost bold and brooding. Big and luscious, but with superb definition. One for the long haul’ – Higgo Jacobs 2016, 95/100",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1994 0661 - 750238.jpg,farms/klein-constansia/vdc/output/assets/8.jpg
9,1995,1,Vin de Constance 1995,500,1,,"'A definite dark rusty amber now, and showing much more oxidative aromas. Minty, orange peel, very complex flavours, and finely layered like puff pastry. Rasping acidity that keeps the thick marmalade unctuousness under control'. – Jancis Robinson, 17.5/20",0,,"'A definite dark rusty amber now, and showing much more oxidative aromas. Minty, orange peel, very complex flavours, and finely layered like puff pastry. Rasping acidity that keeps the thick marmalade unctuousness under control'. – Jancis Robinson, 17.5/20",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1995 0815 - 554382.jpg,farms/klein-constansia/vdc/output/assets/9.jpg
