Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Harlan Estate Napa Valley Red 1990,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/1.png,0,750,1990,No,630,Jancis Robinson - 17.5/20,,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/0
Harlan Estate Napa Valley Red 1990,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/2.png,1,1500,1990,No,629,Jancis Robinson - 17.5/20,,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/1
Harlan Estate Napa Valley Red 1992,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/3.png,2,750,1992,No,662,Jancis Robinson - 17.5/20,Robert Parker - 96/100,Decanter - 94/100,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/2
Harlan Estate Napa Valley Red 1993,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/4.png,3,750,1993,No,648,Jancis Robinson - 17.5/20,Robert Parker - 95/100,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/3
Harlan Estate Napa Valley Red 1996,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/5.png,4,750,1996,No,622,Robert Parker - 98/100,Jancis Robinson - 17.5/20,Decanter - 95/100,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/4
Harlan Estate Napa Valley Red 1996,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/6.png,5,750,1996,No,621,Robert Parker - 98/100,Jancis Robinson - 17.5/20,Decanter - 95/100,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/5
Harlan Estate Napa Valley Red 1997,Perfect 100 point score by Robert Parker.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/7.png,6,750,1997,No,618,Robert Parker - 100/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/6
Harlan Estate Napa Valley Red 1997,Perfect 100 point score by Robert Parker.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/8.png,7,750,1997,No,617,Robert Parker - 100/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/7
Harlan Estate Napa Valley Red 1998,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/9.png,8,750,1998,No,619,Robert Parker - 95/100,Jancis Robinson - 17.5/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/8
Harlan Estate Napa Valley Red 1999,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/10.png,9,750,1999,No,628,Wine Enthusiast - 96/100,Jancis Robinson - 18/20,Decanter - 93/100,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/9
Harlan Estate Napa Valley Red 2000,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/11.png,10,750,2000,No,626,Wine Enthusiast - 98/100,Jancis Robinson - 18/20,Decanter - 94/100,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/10
Harlan Estate Napa Valley Red 2002,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/12.png,11,750,2002,No,660,Robert Parker - 100/100,Wine Enthusiast - 99/100,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/11
Harlan Estate Napa Valley Red 2003,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/13.png,12,750,2003,No,625,Robert Parker - 98+/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/12
Harlan Estate Napa Valley Red 2003,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/14.png,13,750,2003,No,624,Robert Parker - 98+/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/13
Harlan Estate Napa Valley Red 2003,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/15.png,14,750,2003,No,659,Robert Parker - 98+/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/14
Harlan Estate Napa Valley Red 2004,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/16.png,15,750,2004,No,661,Robert Parker - 98/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/15
Harlan Estate Napa Valley Red 2004,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/17.png,16,750,2004,No,686,Robert Parker - 98/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/16
Harlan Estate Napa Valley Red 2004,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/18.png,17,750,2004,No,685,Robert Parker - 98/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/17
Harlan Estate Napa Valley Red 2004,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/19.png,18,750,2004,No,684,Robert Parker - 98/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/18
Harlan Estate Napa Valley Red 2004,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/20.png,19,750,2004,No,683,Robert Parker - 98/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/19
Harlan Estate Napa Valley Red 2004,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/21.png,20,750,2004,No,682,Robert Parker - 98/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/20
Harlan Estate Napa Valley Red 2004,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/22.png,21,750,2004,No,681,Robert Parker - 98/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/21
Harlan Estate Napa Valley Red 2005,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/23.png,22,750,2005,No,623,Robert Parker - 98+/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/22
Harlan Estate Napa Valley Red 2005,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/24.png,23,750,2005,No,652,Robert Parker - 98+/100,Jancis Robinson - 17/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/23
Harlan Estate Napa Valley Red 2006,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/25.png,24,750,2006,No,658,Robert Parker - 96/100,Jancis Robinson - 18.5/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/24
Harlan Estate Napa Valley Red 2007,Perfect 100 point score by Robert Parker.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/26.png,25,750,2007,No,614,Robert Parker - 100/100,Jancis Robinson - 17+/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/25
Harlan Estate Napa Valley Red 2007,Perfect 100 point score by Robert Parker.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/27.png,26,750,2007,No,616,Robert Parker - 100/100,Jancis Robinson - 17+/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/26
Harlan Estate Napa Valley Red 2007,Perfect 100 point score by Robert Parker.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/28.png,27,750,2007,No,615,Robert Parker - 100/100,Jancis Robinson - 17+/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/27
Harlan Estate Napa Valley Red 2008,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/29.png,28,750,2008,No,653,Wine Advocate - 96/100,Jancis Robinson - 17.5/20,,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/28
Harlan Estate Napa Valley Red 2009,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Harlan/images/30.png,29,750,2009,No,654,Wine Advocate - 97/100,Jancis Robinson - 17.5/20,Decanter - 93/100,https://opensea.io/assets/matic/0xa44Ca542EEc0f8F91D2cBc63230B1b9f9816F9F9/29
