Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Domaine de la Romanée-Conti Échézeaux 1999,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/1.png,0,750,1999,No,1925,Vinous - 94/100,Wine Advocate - 92/100,,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/0
Domaine de la Romanée-Conti Échézeaux 2007,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/2.png,1,750,2007,No,777,Jancis Robinson - 18.5/20,Decanter - 91/100,Wine Advocate - 90/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/1
Domaine de la Romanée-Conti Échézeaux 2010,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/3.png,2,750,2010,No,778,Jancis Robinson - 17.5/20,Vinous - 93+/100,Wine Advocate - 93-95/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/2
Domaine de la Romanée-Conti Échézeaux 2010,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/4.png,3,750,2010,No,779,Jancis Robinson - 17.5/20,Vinous - 93+/100,Wine Advocate - 93-95/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/3
Domaine de la Romanée-Conti Échézeaux 2010,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/5.png,4,750,2010,No,780,Jancis Robinson - 17.5/20,Vinous - 93+/100,Wine Advocate - 93-95/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/4
Domaine de la Romanée-Conti Échézeaux 2014,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/6.png,5,750,2014,No,2539,Vinous - 93+/100,Jancis Robinson - 18.5/20,Decanter - 91/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/5
Domaine de la Romanée-Conti Échézeaux 2014,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/7.png,6,750,2014,No,2541,Vinous - 93+/100,Jancis Robinson - 18.5/20,Decanter - 91/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/6
Domaine de la Romanée-Conti Échézeaux 2014,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/8.png,7,750,2014,No,2542,Vinous - 93+/100,Jancis Robinson - 18.5/20,Decanter - 91/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/7
Domaine de la Romanée-Conti Échézeaux 2015,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/9.png,8,750,2015,No,1243,Decanter - 95/100,Vinous - 94/100,Jancis Robinson - 17.5++/20,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/8
Domaine de la Romanée-Conti Échézeaux 2015,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/10.png,9,750,2015,No,781,Decanter - 95/100,Vinous - 94/100,Jancis Robinson - 17.5++/20,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/9
