Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Screaming Eagle Cabernet Sauvignon 1995,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/1.png,0,750,1995,No,1873,Robert Parker - 99/100,Vinous - 92+/100,,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/0
Screaming Eagle Cabernet Sauvignon 1996,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/2.png,1,750,1996,No,1066,Robert Parker - 98/100,Wine Spectator - 96/100,Jancis Robinson - 18/20,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/1
Screaming Eagle Cabernet Sauvignon 1996,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/3.png,2,750,1996,No,1978,Robert Parker - 98/100,Wine Spectator - 96/100,Jancis Robinson - 18/20,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/2
Screaming Eagle Cabernet Sauvignon 1997,"Perfect 100 point score by Robert Parker - 'It doesn't get any better than 1997 Cabernet Sauvignon, a perfect wine.'",https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/4.png,3,750,1997,No,1874,Robert Parker - 100/100,Wine Spectator - 95/100,,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/3
Screaming Eagle Cabernet Sauvignon 2002,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/5.png,4,750,2002,No,644,Vinous - 98/100,Robert Parker - 97+/100,,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/4
Screaming Eagle Cabernet Sauvignon 2003,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/6.png,5,750,2003,No,1875,Robert Parker - 98/100,Wine Enthusiast - 96/100,Vinous - 92/100,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/5
Screaming Eagle Cabernet Sauvignon 2004,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/7.png,6,750,2004,No,1876,Robert Parker - 97+/100,Jancis Robinson - 18/20,Vinous - 94/100,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/6
Screaming Eagle Cabernet Sauvignon 2005,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/8.png,7,750,2005,No,1877,Robert Parker - 98/100,Vinous - 95+/100,,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/7
Screaming Eagle Cabernet Sauvignon 2006,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/9.png,8,750,2006,No,2161,Wine Advocate - 98/100,Jancis Robinson - 19/20,,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/8
Screaming Eagle Cabernet Sauvignon 2006,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/10.png,9,750,2006,No,2163,Wine Advocate - 98/100,Jancis Robinson - 19/20,,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/9
Screaming Eagle Cabernet Sauvignon 2006,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/11.png,10,750,2006,No,2162,Wine Advocate - 98/100,Jancis Robinson - 19/20,,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/10
Screaming Eagle Cabernet Sauvignon 2008,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/12.png,11,1500,2008,No,1593,Vinous - 97/100,Wine Advocate - 95/100,,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/11
Screaming Eagle Cabernet Sauvignon 2009,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/13.png,12,750,2009,No,2166,Vinous - 98+/100,Wine Spectator - 97/100,Robert Parker - 96/100,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/12
Screaming Eagle Cabernet Sauvignon 2009,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Screaming-Eagle/images/14.png,13,750,2009,No,2165,Vinous - 98+/100,Wine Spectator - 97/100,Robert Parker - 96/100,https://opensea.io/assets/matic/0x0F580daF909e1Dc0892301222eD60F59eE6f3770/13
