Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Château d'Yquem Sauternes 1892,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/1.png,0,750,1892,Yes,480,Wine Cellar Insider - 93/100,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/0
Château d'Yquem Sauternes 1896,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/2.png,1,750,1896,Yes,475,Jancis Robinson - 19/20,Wine Spectator - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/1
Château d'Yquem Sauternes 1896,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/3.png,2,750,1896,Yes,477,Jancis Robinson - 19/20,Wine Spectator - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/2
Château d'Yquem Sauternes 1899,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/4.png,3,750,1899,Yes,230,Jancis Robinson - 20/20,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/3
Château d'Yquem Sauternes 1909,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/5.png,4,750,1909,Yes,479,,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/4
Château d'Yquem Sauternes 1909,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/6.png,5,750,1909,Yes,416,,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/5
Château d'Yquem Sauternes 1914,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/7.png,6,750,1914,Yes,485,Jancis Robinson - 19.5/20,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/6
Château d'Yquem Sauternes 1917,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/8.png,7,750,1917,Yes,476,James Suckling - 99/100,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/7
Château d'Yquem Sauternes 1917,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/9.png,8,750,1917,Yes,483,James Suckling - 99/100,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/8
Château d'Yquem Sauternes 1919,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/10.png,9,750,1919,Yes,474,,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/9
